symbol,as_of_date,available_date,shares_outstanding,promoter_holding_pct,public_holding_pct,source,filing_id
DSFCL,2026-06-30,2026-07-21,86988855,50.11,49.89,NSE_SHAREHOLDING_XBRL,SHP_1698231_21072026035448
DSKULKARNI,2026-03-31,2026-04-21,10000000,95.0,5.0,NSE_SHAREHOLDING_XBRL,SHP_1656641_21042026065455
DSKULKARNI,2026-06-30,2026-07-22,10000000,95.0,5.0,NSE_SHAREHOLDING_XBRL,SHP_1698999_22072026102221
DSSL,2026-03-31,2026-04-21,12737156,60.89,39.11,NSE_SHAREHOLDING_XBRL,SHP_1655814_21042026114452
DSSL,2026-06-30,2026-07-15,12737156,60.89,39.11,NSE_SHAREHOLDING_XBRL,SHP_1693466_15072026055833
DTIL,2026-03-31,2026-04-17,10506951,68.9,31.1,NSE_SHAREHOLDING_XBRL,SHP_1652843_17042026112629
DTIL,2026-06-30,2026-07-17,10507665,69.0,31.0,NSE_SHAREHOLDING_XBRL,SHP_1695652_17072026065024
DUCON,2026-03-31,2026-04-17,324914735,38.08,61.92,NSE_SHAREHOLDING_XBRL,SHP_1653439_17042026055359
DUCON,2026-06-30,2026-07-21,324914735,38.08,61.92,NSE_SHAREHOLDING_XBRL,SHP_1698031_21072026021029
DVL,2026-03-31,2026-04-17,35024000,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1652833_17042026111414
DVL,2026-06-30,2026-07-17,35024000,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1695642_17072026064820
DWARKESH,2026-03-31,2026-04-10,185320921,42.14,57.86,NSE_SHAREHOLDING_XBRL,SHP_1648695_10042026032805
DWARKESH,2026-06-30,2026-07-13,185320921,42.14,57.86,NSE_SHAREHOLDING_XBRL,SHP_1691269_13072026014837
DYCL,2026-03-31,2026-04-18,48459516,68.18,31.82,NSE_SHAREHOLDING_XBRL,SHP_1653872_18042026105934
DYCL,2026-06-30,2026-07-24,48459516,68.18,31.82,NSE_SHAREHOLDING_XBRL,SHP_1701034_24072026060336
DYNAMATECH,2026-03-31,2026-04-20,6790952,41.5,58.5,NSE_SHAREHOLDING_XBRL,SHP_1655325_20042026061307
DYNAMATECH,2026-06-30,2026-07-17,6790952,41.5,58.5,NSE_SHAREHOLDING_XBRL,SHP_1695122_17072026032547
DYNPRO,2026-03-31,2026-04-06,12428209,29.42,70.58,NSE_SHAREHOLDING_XBRL,SHP_1646170_06042026025008
DYNPRO,2026-06-30,2026-07-06,12428209,29.42,70.58,NSE_SHAREHOLDING_XBRL,SHP_1688398_06072026025306
E2E,2026-03-31,2026-04-17,20556976,39.45,60.46,NSE_SHAREHOLDING_XBRL,SHP_1653250_17042026043352
E2E,2026-06-30,2026-07-16,205569759,39.45,60.5,NSE_SHAREHOLDING_XBRL,SHP_1694408_16072026054014
EASEMYTRIP,2026-03-31,2026-04-15,3637167858,47.72,52.28,NSE_SHAREHOLDING_XBRL,SHP_1651129_15042026125644
EASEMYTRIP,2026-05-26,2026-06-03,3984519059,43.56,56.44,NSE_SHAREHOLDING_XBRL,SHP_1679228_03062026045156
EASEMYTRIP,2026-06-30,2026-07-15,3984519059,43.56,56.44,NSE_SHAREHOLDING_XBRL,SHP_1693121_15072026032844
EASTSILK,2026-03-31,2026-04-15,4999827,92.23,7.77,NSE_SHAREHOLDING_XBRL,SHP_1651694_15042026065945
EASTSILK,2026-06-30,2026-07-14,5000000,90.0,10.0,NSE_SHAREHOLDING_XBRL,SHP_1692074_14072026022344
EBGNG,2026-03-31,2026-04-17,114009281,78.71,21.29,NSE_SHAREHOLDING_XBRL,SHP_1653154_17042026035834
EBGNG,2026-06-30,2026-08-07,114015651,74.77,25.23,NSE_SHAREHOLDING_XBRL,SHP_1703621_29072026115536
ECLERX,2026-03-31,2026-04-20,94058511,54.52,43.32,NSE_SHAREHOLDING_XBRL,SHP_1654817_20042026024422
ECLERX,2026-06-30,2026-07-17,94058511,54.52,43.29,NSE_SHAREHOLDING_XBRL,SHP_1695423_17072026052140
ECOSMOBLTY,2026-03-31,2026-04-21,60002487,67.79,32.21,NSE_SHAREHOLDING_XBRL,SHP_1656193_21042026034836
ECOSMOBLTY,2026-06-30,2026-07-17,60002487,67.79,32.21,NSE_SHAREHOLDING_XBRL,SHP_1695233_17072026041358
EDELWEISS,2026-03-31,2026-04-17,946401057,32.26,67.74,NSE_SHAREHOLDING_XBRL,SHP_1653506_17042026063052
EDELWEISS,2026-06-30,2026-07-20,946633543,32.26,67.74,NSE_SHAREHOLDING_XBRL,SHP_1696956_20072026044439
EDUCOMP,2022-06-30,2026-06-12,122461467,44.78,55.22,NSE_SHAREHOLDING_XBRL,SHP_1681114_12062026033859
EDUCOMP,2026-03-31,2026-04-21,122461467,44.78,55.22,NSE_SHAREHOLDING_XBRL,SHP_1656900_21042026103422
EFCIL,2026-03-31,2026-04-04,137273039,60.44,39.56,NSE_SHAREHOLDING_XBRL,SHP_1646051_04042026083352
EFCIL,2026-05-25,2026-06-03,147945480,56.08,43.92,NSE_SHAREHOLDING_XBRL,SHP_1679172_03062026025558
EFCIL,2026-06-30,2026-07-20,147945480,56.08,43.92,NSE_SHAREHOLDING_XBRL,SHP_1697579_20072026084749
EICHERMOT,2026-03-31,2026-04-20,274286474,49.06,50.94,NSE_SHAREHOLDING_XBRL,SHP_1655434_20042026064729
EICHERMOT,2026-06-30,2026-07-20,274510290,49.02,50.98,NSE_SHAREHOLDING_XBRL,SHP_1696639_20072026020840
EIDPARRY,2026-03-31,2026-06-05,177887032,41.44,58.56,NSE_SHAREHOLDING_XBRL,SHP_1679695_05062026033432
EIDPARRY,2026-06-30,2026-07-20,177938353,41.28,58.72,NSE_SHAREHOLDING_XBRL,SHP_1696629_20072026020113
EIEL,2026-03-31,2026-04-15,175525754,70.19,29.81,NSE_SHAREHOLDING_XBRL,SHP_1651431_15042026044517
EIEL,2026-06-30,2026-07-15,175525754,70.19,29.81,NSE_SHAREHOLDING_XBRL,SHP_1693061_15072026025508
EIFFL,2026-03-31,2026-04-20,24801086,73.5,26.5,NSE_SHAREHOLDING_XBRL,SHP_1655445_20042026065237
EIFFL,2026-06-30,2026-07-18,24801086,73.5,26.5,NSE_SHAREHOLDING_XBRL,SHP_1696154_18072026042855
EIHAHOTELS,2026-03-31,2026-04-17,60934176,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1653195_17042026041119
EIHAHOTELS,2026-06-30,2026-07-21,60934176,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1697982_21072026013339
EIHOTEL,2026-03-31,2026-04-17,625336597,32.85,67.15,NSE_SHAREHOLDING_XBRL,SHP_1653258_17042026043648
EIHOTEL,2026-06-30,2026-07-21,625336597,32.85,67.15,NSE_SHAREHOLDING_XBRL,SHP_1697827_21072026120829
EIMCOELECO,2026-03-31,2026-04-08,5767810,48.96,51.04,NSE_SHAREHOLDING_XBRL,SHP_1647553_08042026062003
EIMCOELECO,2026-06-30,2026-07-10,5767810,48.96,51.04,NSE_SHAREHOLDING_XBRL,SHP_1690616_10072026055719
EKC,2026-03-31,2026-04-18,112202319,67.39,32.61,NSE_SHAREHOLDING_XBRL,SHP_1654293_18042026053441
EKC,2026-06-30,2026-07-15,112202319,67.39,32.61,NSE_SHAREHOLDING_XBRL,SHP_1693463_15072026055632
ELDEHSG,2026-03-31,2026-04-17,9832820,54.83,45.17,NSE_SHAREHOLDING_XBRL,SHP_1652897_17042026122057
ELDEHSG,2026-06-30,2026-07-18,9832820,54.83,45.17,NSE_SHAREHOLDING_XBRL,SHP_1695902_18072026113314
ELECON,2026-03-31,2026-04-11,224417270,59.27,40.73,NSE_SHAREHOLDING_XBRL,SHP_1649359_11042026035216
ELECON,2026-06-30,2026-07-09,224417270,59.27,40.73,NSE_SHAREHOLDING_XBRL,SHP_1689643_09072026021504
ELECTCAST,2026-03-31,2026-04-16,618243172,50.13,49.87,NSE_SHAREHOLDING_XBRL,SHP_1652101_16042026024859
ELECTCAST,2026-06-30,2026-07-15,618243172,50.13,49.87,NSE_SHAREHOLDING_XBRL,SHP_1693107_15072026032318
ELECTHERM,2026-03-31,2026-04-07,12744906,29.9,70.1,NSE_SHAREHOLDING_XBRL,SHP_1646745_07042026043925
ELECTHERM,2026-06-30,2026-07-15,12740968,29.87,70.13,NSE_SHAREHOLDING_XBRL,SHP_1693197_15072026040412
ELGIEQUIP,2026-03-31,2026-04-14,316941904,31.19,68.28,NSE_SHAREHOLDING_XBRL,SHP_1650781_14042026054032
ELGIEQUIP,2026-06-30,2026-07-16,316941904,31.19,68.32,NSE_SHAREHOLDING_XBRL,SHP_1694212_16072026041137
ELGIRUBCO,2026-03-31,2026-04-11,50053423,65.03,34.97,NSE_SHAREHOLDING_XBRL,SHP_1649328_11042026030556
ELGIRUBCO,2026-06-30,2026-07-17,50053423,65.03,34.97,NSE_SHAREHOLDING_XBRL,SHP_1695505_17072026054804
ELIN,2026-03-31,2026-04-17,49705781,32.95,67.05,NSE_SHAREHOLDING_XBRL,SHP_1653369_17042026052845
ELIN,2026-06-30,2026-07-17,49707022,32.97,67.03,NSE_SHAREHOLDING_XBRL,SHP_1695594_17072026062101
ELLEN,2026-03-31,2026-04-21,140934997,77.15,22.85,NSE_SHAREHOLDING_XBRL,SHP_1655903_21042026124630
ELLEN,2026-06-30,2026-07-20,140934997,77.15,22.85,NSE_SHAREHOLDING_XBRL,SHP_1697123_20072026053324
EMAMILTD,2026-03-31,2026-04-20,436530656,54.84,45.16,NSE_SHAREHOLDING_XBRL,SHP_1654971_20042026035840
EMAMILTD,2026-06-30,2026-07-17,436530656,54.84,45.16,NSE_SHAREHOLDING_XBRL,SHP_1695544_17072026055942
EMAMIPAP,2026-03-31,2026-04-17,60501915,74.97,25.03,NSE_SHAREHOLDING_XBRL,SHP_1653151_17042026035705
EMAMIPAP,2026-06-30,2026-07-14,60501915,74.97,25.03,NSE_SHAREHOLDING_XBRL,SHP_1692645_14072026073132
EMAMIREAL,2026-03-31,2026-04-08,43833674,68.45,31.55,NSE_SHAREHOLDING_XBRL,SHP_1647397_08042026044325
EMAMIREAL,2026-04-08,2026-04-15,52035072,73.42,26.58,NSE_SHAREHOLDING_XBRL,SHP_1651173_15042026015625
EMAMIREAL,2026-06-30,2026-07-18,52035072,73.42,26.58,NSE_SHAREHOLDING_XBRL,SHP_1695950_18072026122255
EMBDL,2026-03-31,2026-04-21,1390689620,42.65,57.31,NSE_SHAREHOLDING_XBRL,SHP_1656284_21042026041700
EMBDL,2026-06-30,2026-07-21,1390689620,42.65,57.31,NSE_SHAREHOLDING_XBRL,SHP_1697919_21072026125425
EMCURE,2026-03-31,2026-04-17,189582895,77.87,22.13,NSE_SHAREHOLDING_XBRL,SHP_1653522_17042026063721
EMCURE,2026-06-30,2026-07-21,189680329,77.83,22.17,NSE_SHAREHOLDING_XBRL,SHP_1698017_21072026020152
EMIL,2026-03-31,2026-04-17,384766422,65.17,34.83,NSE_SHAREHOLDING_XBRL,SHP_1653580_17042026071126
EMIL,2026-06-30,2026-07-13,384766422,65.17,34.83,NSE_SHAREHOLDING_XBRL,SHP_1691377_13072026034009
EMKAY,2026-03-31,2026-04-21,26188317,72.21,27.79,NSE_SHAREHOLDING_XBRL,SHP_1655931_21042026010509
EMKAY,2026-06-30,2026-07-20,27329375,72.83,27.17,NSE_SHAREHOLDING_XBRL,SHP_1697365_20072026064215
EMMBI,2026-03-31,2026-04-16,19239242,62.95,37.05,NSE_SHAREHOLDING_XBRL,SHP_1652062_16042026022506
EMMBI,2026-06-30,2026-07-20,19239242,62.95,37.05,NSE_SHAREHOLDING_XBRL,SHP_1697560_20072026082853
EMMVEE,2026-03-31,2026-04-09,692360596,80.03,19.97,NSE_SHAREHOLDING_XBRL,SHP_1648063_09042026043431
EMMVEE,2026-06-30,2026-07-20,692360596,80.03,19.97,NSE_SHAREHOLDING_XBRL,SHP_1697164_20072026054540
EMSLIMITED,2026-03-31,2026-04-03,55532112,69.7,30.3,NSE_SHAREHOLDING_XBRL,SHP_1645844_03042026060514
EMSLIMITED,2026-06-30,2026-07-02,55532112,69.7,30.3,NSE_SHAREHOLDING_XBRL,SHP_1687520_02072026034402
EMUDHRA,2026-03-31,2026-04-15,82805048,54.4,44.68,NSE_SHAREHOLDING_XBRL,SHP_1650986_15042026102353
EMUDHRA,2026-06-30,2026-07-17,82805048,54.4,45.6,NSE_SHAREHOLDING_XBRL,SHP_1695390_17072026050933
ENDURANCE,2026-03-31,2026-04-12,140662848,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1649467_12042026071524
ENDURANCE,2026-06-30,2026-07-16,140662848,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1694508_16072026062537
ENERGYDEV,2026-03-31,2026-04-17,47499211,58.14,41.86,NSE_SHAREHOLDING_XBRL,SHP_1653378_17042026053227
ENERGYDEV,2026-06-30,2026-07-16,47499211,58.14,41.86,NSE_SHAREHOLDING_XBRL,SHP_1694664_16072026081623
ENGINERSIN,2026-03-31,2026-04-16,562078301,51.32,48.68,NSE_SHAREHOLDING_XBRL,SHP_1652183_16042026034538
ENGINERSIN,2026-06-30,2026-07-14,562078301,51.32,48.68,NSE_SHAREHOLDING_XBRL,SHP_1692204_14072026033843
ENIL,2026-03-31,2026-04-07,47671680,71.15,28.85,NSE_SHAREHOLDING_XBRL,SHP_1646631_07042026025855
ENIL,2026-06-30,2026-07-15,47671680,71.15,28.85,NSE_SHAREHOLDING_XBRL,SHP_1693311_15072026045427
ENRIN,2026-03-31,2026-04-17,356119884,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1653496_17042026062713
ENRIN,2026-06-30,2026-07-15,356119884,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1693115_15072026032526
ENTERO,2026-03-31,2026-08-07,43509365,52.42,47.58,NSE_SHAREHOLDING_XBRL,SHP_1705705_30072026090112
ENTERO,2026-06-30,2026-07-21,43525971,52.4,47.6,NSE_SHAREHOLDING_XBRL,SHP_1697987_21072026013427
EPACK,2026-03-31,2026-04-21,96231715,47.18,52.82,NSE_SHAREHOLDING_XBRL,SHP_1656156_21042026032731
EPACK,2026-06-30,2026-07-17,96224112,46.45,53.55,NSE_SHAREHOLDING_XBRL,SHP_1694911_17072026124747
EPACKPEB,2026-03-31,2026-04-21,100619561,64.96,35.04,NSE_SHAREHOLDING_XBRL,SHP_1656464_21042026055239
EPACKPEB,2026-06-30,2026-07-20,100634480,64.95,35.05,NSE_SHAREHOLDING_XBRL,SHP_1696687_20072026024959
EPIGRAL,2026-03-31,2026-06-25,43140418,68.83,31.17,NSE_SHAREHOLDING_XBRL,SHP_1683930_24062026013939
EPIGRAL,2026-06-30,2026-07-18,43140418,68.83,31.17,NSE_SHAREHOLDING_XBRL,SHP_1695860_18072026103803
EPL,2026-03-31,2026-04-21,320241778,26.38,73.62,NSE_SHAREHOLDING_XBRL,SHP_1656079_21042026024242
EPL,2026-06-30,2026-07-20,320241778,26.38,73.62,NSE_SHAREHOLDING_XBRL,SHP_1696420_20072026111914
EQUIPPP,2026-03-31,2026-04-20,103096490,87.35,12.65,NSE_SHAREHOLDING_XBRL,SHP_1655326_20042026061316
EQUIPPP,2026-06-30,2026-07-21,103096490,87.35,12.65,NSE_SHAREHOLDING_XBRL,SHP_1698298_21072026042402
EQUITASBNK,2026-03-31,2026-04-15,1141043060,0.0,100.0,NSE_SHAREHOLDING_XBRL,SHP_1651447_15042026045316
EQUITASBNK,2026-06-30,2026-07-17,1143721806,0.0,100.0,NSE_SHAREHOLDING_XBRL,SHP_1695755_17072026080109
ERIS,2026-03-31,2026-04-15,138554792,53.92,46.08,NSE_SHAREHOLDING_XBRL,SHP_1651336_15042026035241
ERIS,2026-06-30,2026-07-18,138571919,54.14,45.86,NSE_SHAREHOLDING_XBRL,SHP_1696259_18072026055934
EROSMEDIA,2026-03-31,2026-04-21,95938160,16.25,83.75,NSE_SHAREHOLDING_XBRL,SHP_1656296_21042026042315
EROSMEDIA,2026-06-30,2026-07-21,95938160,16.25,83.75,NSE_SHAREHOLDING_XBRL,SHP_1698825_21072026073926
ESABINDIA,2026-03-31,2026-04-09,15393326,73.72,26.28,NSE_SHAREHOLDING_XBRL,SHP_1647927_09042026031035
ESABINDIA,2026-06-30,2026-07-07,15393326,73.72,26.28,NSE_SHAREHOLDING_XBRL,SHP_1688933_07072026054231
ESAFSFB,2026-03-31,2026-04-21,515702969,63.28,36.72,NSE_SHAREHOLDING_XBRL,SHP_1655838_21042026120630
ESAFSFB,2026-06-30,2026-07-21,515947572,63.25,36.75,NSE_SHAREHOLDING_XBRL,SHP_1697954_21072026011427
ESCORTS,2026-03-31,2026-04-20,111883976,68.04,30.3,NSE_SHAREHOLDING_XBRL,SHP_1655333_20042026061412
ESCORTS,2026-06-30,2026-07-17,111883976,68.04,30.31,NSE_SHAREHOLDING_XBRL,SHP_1695516_17072026055043
ESSARSHPNG,2026-03-31,2026-04-21,206979275,73.75,26.25,NSE_SHAREHOLDING_XBRL,SHP_1655913_21042026125458
ESSARSHPNG,2026-06-30,2026-07-17,206979275,73.75,26.25,NSE_SHAREHOLDING_XBRL,SHP_1695769_17072026081434
ESSENTIA,2026-03-31,2026-04-07,1067448504,15.98,84.02,NSE_SHAREHOLDING_XBRL,SHP_1646929_07042026063905
ESSENTIA,2026-06-11,2026-06-12,1754920484,9.72,90.28,NSE_SHAREHOLDING_XBRL,SHP_1681067_12062026120222
ESTER,2026-03-31,2026-04-10,97593728,62.71,37.29,NSE_SHAREHOLDING_XBRL,SHP_1648635_10042026024627
ESTER,2026-05-12,2026-05-21,104297970,62.32,37.68,NSE_SHAREHOLDING_XBRL,SHP_1670396_21052026105407
ESTER,2026-06-30,2026-07-09,104297970,62.32,37.68,NSE_SHAREHOLDING_XBRL,SHP_1689933_09072026053642
ETERNAL,2026-03-31,2026-04-03,9650353919,0.0,95.27,NSE_SHAREHOLDING_XBRL,SHP_1645714_03042026011438
ETERNAL,2026-06-30,2026-07-08,9650270570,0.0,95.39,NSE_SHAREHOLDING_XBRL,SHP_1689462_08072026071407
ETHOSLTD,2026-03-31,2026-04-14,26755382,50.59,49.41,NSE_SHAREHOLDING_XBRL,SHP_1650353_14042026115202
ETHOSLTD,2026-06-30,2026-07-14,26755382,50.59,49.41,NSE_SHAREHOLDING_XBRL,SHP_1692411_14072026052145
EUREKAFORB,2026-03-31,2026-04-21,193481026,62.56,37.44,NSE_SHAREHOLDING_XBRL,SHP_1655871_21042026122118
EUREKAFORB,2026-06-30,2026-07-21,193511958,62.55,37.45,NSE_SHAREHOLDING_XBRL,SHP_1698789_21072026071955
EUROBOND,2026-03-31,2026-04-16,24499440,63.93,36.07,NSE_SHAREHOLDING_XBRL,SHP_1652164_16042026033218
EUROBOND,2026-06-30,2026-07-17,24499440,63.93,36.07,NSE_SHAREHOLDING_XBRL,SHP_1695319_17072026044826
EUROMULTI,2026-03-31,2026-04-21,23798262,47.01,52.99,NSE_SHAREHOLDING_XBRL,SHP_1656301_21042026042415
EUROMULTI,2026-06-30,2026-07-21,23798262,47.01,52.99,NSE_SHAREHOLDING_XBRL,SHP_1698672_21072026063653
EUROPRATIK,2026-03-31,2026-04-16,102206388,70.48,29.52,NSE_SHAREHOLDING_XBRL,SHP_1652229_16042026041251
EUROPRATIK,2026-06-30,2026-07-21,102198509,73.91,26.09,NSE_SHAREHOLDING_XBRL,SHP_1698820_21072026073733
EUROTEXIND,2026-03-31,2026-04-13,8750003,70.99,29.01,NSE_SHAREHOLDING_XBRL,SHP_1649812_13042026040154
EUROTEXIND,2026-06-30,2026-07-20,8750003,70.99,29.01,NSE_SHAREHOLDING_XBRL,SHP_1696671_20072026024128
EVEREADY,2026-03-31,2026-04-10,72694653,43.2,56.8,NSE_SHAREHOLDING_XBRL,SHP_1649126_10042026073101
EVEREADY,2026-06-30,2026-07-08,72695161,43.6,56.4,NSE_SHAREHOLDING_XBRL,SHP_1689461_08072026070914
EVERESTIND,2026-03-31,2026-04-17,15857316,50.22,49.78,NSE_SHAREHOLDING_XBRL,SHP_1653562_17042026065304
EVERESTIND,2026-06-30,2026-07-17,15857316,50.22,49.78,NSE_SHAREHOLDING_XBRL,SHP_1695099_17072026031200
EXCELINDUS,2026-03-31,2026-04-08,12485749,52.69,47.31,NSE_SHAREHOLDING_XBRL,SHP_1647305_08042026033254
EXCELINDUS,2026-06-30,2026-07-21,12484880,51.86,48.14,NSE_SHAREHOLDING_XBRL,SHP_1698043_21072026022344
EXCELSOFT,2026-03-31,2026-04-14,115079772,59.09,40.91,NSE_SHAREHOLDING_XBRL,SHP_1650408_14042026124458
EXCELSOFT,2026-06-30,2026-07-20,115079772,59.09,40.91,NSE_SHAREHOLDING_XBRL,SHP_1695284_17072026043554
EXICOM,2026-03-31,2026-04-16,139084724,66.47,33.53,NSE_SHAREHOLDING_XBRL,SHP_1652537_16042026061334
EXICOM,2026-06-30,2026-07-20,139071497,65.2,34.8,NSE_SHAREHOLDING_XBRL,SHP_1697359_20072026063959
EXIDEIND,2026-03-31,2026-04-13,850086249,45.99,54.01,NSE_SHAREHOLDING_XBRL,SHP_1649976_13042026051530
EXIDEIND,2026-06-30,2026-07-20,850086249,45.99,54.01,NSE_SHAREHOLDING_XBRL,SHP_1697163_20072026054456
EXPLEOSOL,2026-03-31,2026-04-17,15518730,71.05,28.95,NSE_SHAREHOLDING_XBRL,SHP_1652839_17042026111955
EXPLEOSOL,2026-06-30,2026-07-17,15518730,71.05,28.95,NSE_SHAREHOLDING_XBRL,SHP_1695081_17072026030121
EXXARO,2026-03-31,2026-04-08,447377965,42.07,57.93,NSE_SHAREHOLDING_XBRL,SHP_1647144_08042026123557
EXXARO,2026-06-30,2026-07-09,447377965,42.07,57.93,NSE_SHAREHOLDING_XBRL,SHP_1689829_09072026043258
FABTECH,2026-03-31,2026-04-17,44451456,68.94,31.06,NSE_SHAREHOLDING_XBRL,SHP_1653052_17042026025257
FABTECH,2026-06-30,2026-07-09,44451456,68.94,31.06,NSE_SHAREHOLDING_XBRL,SHP_1689841_09072026043836
FACT,2026-03-31,2026-04-16,647071973,90.0,10.0,NSE_SHAREHOLDING_XBRL,SHP_1652237_16042026041643
FACT,2026-06-30,2026-07-10,647071973,90.0,10.0,NSE_SHAREHOLDING_XBRL,SHP_1690536_10072026051416
FAIRCHEMOR,2026-03-31,2026-04-08,12595357,63.26,36.74,NSE_SHAREHOLDING_XBRL,SHP_1647215_08042026020305
FAIRCHEMOR,2026-06-30,2026-07-11,12595357,63.26,36.74,NSE_SHAREHOLDING_XBRL,SHP_1690896_11072026121231
FAZE3Q,2026-03-31,2026-04-18,24317347,58.01,41.8,NSE_SHAREHOLDING_XBRL,SHP_1654270_18042026051639
FAZE3Q,2026-06-30,2026-07-21,24317347,58.01,41.8,NSE_SHAREHOLDING_XBRL,SHP_1698232_21072026035611
FCL,2026-03-31,2026-04-10,1164510867,62.3,37.7,NSE_SHAREHOLDING_XBRL,SHP_1648654_10042026025611
FCL,2026-06-30,2026-07-13,1164510867,62.3,37.7,NSE_SHAREHOLDING_XBRL,SHP_1691460_13072026042551
FCSSOFT,2026-03-31,2026-04-16,1709732570,19.65,80.35,NSE_SHAREHOLDING_XBRL,SHP_1652178_16042026034206
FCSSOFT,2026-06-30,2026-07-20,1709732570,19.65,80.35,NSE_SHAREHOLDING_XBRL,SHP_1697021_20072026050340
FDC,2026-03-31,2026-04-14,162805675,69.66,30.34,NSE_SHAREHOLDING_XBRL,SHP_1650419_14042026125338
FDC,2026-06-30,2026-07-17,162805675,69.66,30.34,NSE_SHAREHOLDING_XBRL,SHP_1695266_17072026042710
FEDERALBNK,2026-03-31,2026-04-21,2439261596,0.0,100.0,NSE_SHAREHOLDING_XBRL,SHP_1655993_21042026015047
FEDERALBNK,2026-06-30,2026-07-21,2443018251,0.0,100.0,NSE_SHAREHOLDING_XBRL,SHP_1698856_21072026075633
FEDFINA,2026-03-31,2026-04-16,374197715,60.79,39.21,NSE_SHAREHOLDING_XBRL,SHP_1652578_16042026063015
FEDFINA,2026-06-30,2026-07-18,374931673,60.67,39.33,NSE_SHAREHOLDING_XBRL,SHP_1696327_18072026091846
FIBERWEB,2026-03-31,2026-06-25,28790906,46.81,53.19,NSE_SHAREHOLDING_XBRL,SHP_1681071_12062026121511
FIBERWEB,2026-06-30,2026-07-17,28794048,47.04,52.96,NSE_SHAREHOLDING_XBRL,SHP_1695183_17072026035555
FIEMIND,2026-03-31,2026-04-06,26317524,54.52,45.48,NSE_SHAREHOLDING_XBRL,SHP_1646248_06042026041644
FIEMIND,2026-06-30,2026-07-18,26317524,54.52,45.48,NSE_SHAREHOLDING_XBRL,SHP_1695951_18072026122623
FILATEX,2026-03-31,2026-04-21,444072815,65.47,34.53,NSE_SHAREHOLDING_XBRL,SHP_1655830_21042026120127
FILATEX,2026-06-30,2026-07-21,444072815,65.47,34.53,NSE_SHAREHOLDING_XBRL,SHP_1697808_21072026115418
FILATFASH,2026-03-31,2026-04-21,8328323640,5.11,94.89,NSE_SHAREHOLDING_XBRL,SHP_1656769_21042026075809
FILATFASH,2026-05-21,2026-05-28,8338761113,4.85,95.15,NSE_SHAREHOLDING_XBRL,SHP_1675100_28052026060919
FINCABLES,2026-03-31,2026-04-14,152931316,35.86,64.14,NSE_SHAREHOLDING_XBRL,SHP_1650501_14042026025022
FINCABLES,2026-06-30,2026-07-16,152931316,35.86,64.14,NSE_SHAREHOLDING_XBRL,SHP_1694064_16072026030339
FINEORG,2026-03-31,2026-04-16,30659335,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1652366_16042026050149
FINEORG,2026-06-30,2026-07-20,30659335,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1697241_20072026060621
FINKURVE,2026-03-31,2026-04-13,140060811,56.24,43.76,NSE_SHAREHOLDING_XBRL,SHP_1649757_13042026032350
FINKURVE,2026-06-30,2026-07-14,140135563,56.21,43.79,NSE_SHAREHOLDING_XBRL,SHP_1691913_14072026112334
FINOPB,2026-03-31,2026-04-20,83215996,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1655522_20042026072226
FINOPB,2026-06-30,2026-07-20,83215996,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1697418_20072026070433
FINPIPE,2026-03-31,2026-04-04,620485010,52.47,47.18,NSE_SHAREHOLDING_XBRL,SHP_1645973_04042026035242
FINPIPE,2026-06-30,2026-07-23,620485010,52.47,47.18,NSE_SHAREHOLDING_XBRL,SHP_1694823_17072026112510
FIRSTCRY,2026-03-31,2026-06-11,522052859,0.0,92.94,NSE_SHAREHOLDING_XBRL,SHP_1680710_10062026045528
FIRSTCRY,2026-06-30,2026-07-16,522115390,0.0,93.02,NSE_SHAREHOLDING_XBRL,SHP_1694104_16072026032035
FISCHER,2026-03-31,2026-04-17,654485358,62.15,37.85,NSE_SHAREHOLDING_XBRL,SHP_1652852_17042026113816
FISCHER,2026-06-30,2026-07-18,654485358,62.15,37.85,NSE_SHAREHOLDING_XBRL,SHP_1695879_18072026110045
FIVESTAR,2026-06-30,2026-07-17,295189887,18.61,81.39,NSE_SHAREHOLDING_XBRL,SHP_1694873_17072026121250
FLAIR,2026-03-31,2026-04-11,105394569,78.59,21.41,NSE_SHAREHOLDING_XBRL,SHP_1649240_11042026111619
FLAIR,2026-06-30,2026-07-17,105394569,78.59,21.41,NSE_SHAREHOLDING_XBRL,SHP_1694869_17072026121139
FLEXITUFF,2026-03-31,2026-04-14,32821349,32.24,67.76,NSE_SHAREHOLDING_XBRL,SHP_1650684_14042026043336
FLEXITUFF,2026-06-30,2026-07-20,32821349,32.24,67.76,NSE_SHAREHOLDING_XBRL,SHP_1697421_20072026070708
