symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
20MICRONS,2026-03-05,168.88,169.88,171.69,165.33,167.06,167.43,167.26,64770,108.33,1911,33876,52.3
21STCENMGM,2026-03-05,34.91,34.91,34.91,34.22,34.45,34.29,34.25,859,0.29,46,858,99.88
360ONE,2026-03-05,1066.4,1065.3,1084.1,1065.3,1078.0,1081.0,1074.37,315551,3390.18,15920,170363,53.99
3IINFOLTD,2026-03-05,13.36,13.4,13.59,13.29,13.33,13.38,13.37,287808,38.49,1434,211349,73.43
3MINDIA,2026-03-05,34280.0,34690.0,34810.0,33800.0,34140.0,34530.0,34314.9,3452,1184.55,1969,1096,31.75
3PLAND,2026-03-05,31.07,31.0,31.98,30.16,31.5,31.51,31.27,6572,2.06,110,4742,72.15
5PAISA,2026-03-05,303.8,303.8,313.75,302.55,308.5,305.9,305.57,23914,73.07,1078,10380,43.41
63MOONS,2026-03-05,564.5,574.7,596.2,560.7,586.1,588.65,576.09,153530,884.47,5351,73353,47.78
A2ZINFRA,2026-03-05,16.19,16.4,16.94,15.8,16.2,16.54,16.54,450942,74.58,810,278213,61.7
AAATECH,2026-03-05,94.51,95.98,97.19,90.0,90.0,91.02,92.23,72602,66.96,818,55826,76.89
AADHARHFC,2026-03-05,453.1,454.1,458.05,443.15,453.0,453.1,449.63,387290,1741.38,24754,220040,56.82
AAKASH,2026-03-05,9.92,10.8,11.9,10.12,11.9,11.9,11.47,5735360,657.93,11322,2007043,34.99
AAREYDRUGS,2026-03-05,68.76,69.89,73.8,69.0,73.3,72.74,72.31,125038,90.42,1637,68776,55.0
AARNAV,2026-03-05,25.16,25.02,26.48,25.02,25.15,25.37,25.52,52023,13.28,213,46560,89.5
AARON,2026-03-05,140.9,147.4,164.96,145.82,147.5,148.13,151.02,40840,61.67,1095,15472,37.88
AARTECH,2026-03-05,40.53,40.53,43.53,40.17,40.26,40.56,41.65,15052,6.27,459,8397,55.79
AARTIDRUGS,2026-03-05,360.45,360.45,364.8,355.8,364.8,360.8,359.64,69173,248.77,2619,40712,58.86
AARTIIND,2026-03-05,412.5,412.0,423.7,407.85,419.0,421.85,415.53,1124290,4671.74,37432,364946,32.46
AARTIPHARM,2026-03-05,677.85,681.4,702.0,677.1,695.05,698.85,689.59,183725,1266.95,15441,101769,55.39
AARTISURF,2026-03-05,375.1,372.6,386.9,372.6,380.0,378.45,380.79,7852,29.9,702,4256,54.2
AARVI,2026-03-05,117.26,118.06,134.0,118.06,130.0,130.19,129.05,80259,103.58,1323,51374,64.01
AAVAS,2026-03-05,1233.2,1229.9,1242.3,1211.8,1226.2,1224.9,1222.5,159073,1944.67,22895,97259,61.14
ABB,2026-03-05,5830.5,5844.0,6000.5,5833.5,5915.0,5929.0,5919.25,268401,15887.32,26369,122709,45.72
ABBOTINDIA,2026-03-05,27825.0,27905.0,28490.0,27520.0,27580.0,27615.0,28119.64,18832,5295.49,9455,6660,35.37
ABCAPITAL,2026-03-05,321.55,325.0,328.75,320.2,328.4,327.6,325.2,3698123,12026.14,48679,1519625,41.09
