symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
20MICRONS,2025-10-21,208.86,211.98,213.3,210.21,212.8,212.28,211.83,20505,43.44,828,14928,72.87
21STCENMGM,2025-10-21,48.41,49.37,49.37,47.61,48.0,48.05,47.87,1809,0.87,56,1609,88.94
360ONE,2025-10-21,1183.3,1200.1,1200.1,1170.0,1172.0,1175.4,1180.76,136457,1611.23,6954,41896,30.71
3IINFOLTD,2025-10-21,19.07,19.11,19.32,19.08,19.18,19.17,19.2,157035,30.16,764,134888,85.9
3MINDIA,2025-10-21,29675.0,29940.0,29940.0,29710.0,29840.0,29790.0,29810.19,453,135.04,232,335,73.95
3PLAND,2025-10-21,41.1,44.14,44.14,41.15,41.5,42.12,41.94,1159,0.49,26,1073,92.58
5PAISA,2025-10-21,312.45,311.55,316.5,311.55,316.0,315.75,315.08,14079,44.36,800,9956,70.77
63MOONS,2025-10-21,801.05,805.0,808.0,795.05,800.0,803.8,803.96,15494,124.56,909,11549,74.54
AADHARHFC,2025-10-21,513.75,516.45,521.05,511.7,515.0,515.65,515.91,83964,433.18,4144,46976,55.95
AAKASH,2025-10-21,9.05,9.05,9.24,8.99,9.2,9.16,9.14,20064,1.83,216,14718,73.36
AARON,2025-10-21,180.66,186.0,189.99,183.75,187.2,187.11,186.29,7380,13.75,317,5904,80.0
AARTECH,2025-10-21,59.16,59.0,60.8,58.0,58.0,59.35,59.31,43480,25.79,397,30594,70.36
AARTIDRUGS,2025-10-21,515.05,516.0,519.9,512.75,514.0,515.9,515.89,26156,134.94,1768,15973,61.08
AARTIIND,2025-10-21,372.65,375.0,376.95,372.7,375.25,375.1,375.17,67762,254.22,3820,40770,60.17
AARTIPHARM,2025-10-21,838.85,840.55,875.0,840.5,860.0,846.9,846.71,26919,227.92,2321,18359,68.3
AARTISURF,2025-10-21,480.4,480.0,495.0,480.0,490.0,490.55,490.17,3597,17.63,208,2545,70.75
AARVI,2025-10-21,118.11,117.4,122.2,117.4,119.0,119.96,120.17,6179,7.43,166,3707,59.99
AAVAS,2025-10-21,1620.2,1610.1,1632.2,1610.1,1626.0,1620.6,1622.65,13125,212.97,2532,7326,55.82
ABB,2025-10-21,5231.5,5248.0,5262.0,5220.0,5232.0,5240.0,5246.3,26961,1414.46,4476,16350,60.69
ABBOTINDIA,2025-10-21,29930.0,29990.0,30330.0,29875.0,30300.0,30255.0,30191.8,1347,406.68,700,873,64.81
ABCAPITAL,2025-10-21,305.35,306.2,306.8,302.4,303.2,304.85,305.13,442795,1351.12,7582,219790,49.67
ABCOTS,2025-10-21,404.25,414.8,467.95,400.0,409.8,410.05,425.66,100967,429.77,2197,19888,19.7
ABDL,2025-10-21,580.9,589.6,609.4,585.85,601.85,603.65,601.9,534593,3217.73,20422,236044,44.16
ABFRL,2025-10-21,83.03,83.81,83.94,82.92,83.55,83.65,83.53,631705,527.64,4129,397673,63.03
ABINFRA,2025-10-21,18.66,18.68,18.94,18.0,18.1,18.12,18.13,254216,46.08,574,166479,65.49
ABLBL,2025-10-21,137.81,139.0,140.0,137.9,138.6,139.2,138.92,241527,335.53,3103,106325,44.02
ABREL,2025-10-21,1632.0,1643.0,1655.0,1632.0,1643.0,1643.2,1647.99,17302,285.13,2230,8953,51.75
ABSLAMC,2025-10-21,862.05,874.0,874.0,866.7,869.0,870.05,870.34,65304,568.37,4209,45241,69.31
ABSLBANETF,2025-10-21,59.24,59.84,59.84,59.08,59.19,59.21,59.28,12606,7.47,229,7699,61.07
ABSLLIQUID,2025-10-21,1000.0,1000.01,1000.01,999.99,1000.0,1000.0,1000.0,104,1.04,6,98,94.23
ABSLNN50ET,2025-10-21,72.55,74.36,74.36,72.13,72.8,72.82,72.87,13181,9.61,213,11328,85.94
ABSLPSE,2025-10-21,10.17,9.91,10.39,9.91,10.19,10.18,10.18,63394,6.46,305,63136,99.59
ACC,2025-10-21,1830.9,1835.4,1856.1,1835.4,1850.0,1848.9,1845.52,38297,706.78,2900,22498,58.75
ACCELYA,2025-10-21,1499.9,1507.0,1527.0,1492.0,1501.7,1499.8,1501.57,44395,666.62,2511,31546,71.06
ACCURACY,2025-10-21,6.61,6.73,6.76,6.35,6.68,6.57,6.63,67108,4.45,364,47076,70.15
ACE,2025-10-21,1112.5,1112.0,1125.0,1110.0,1119.0,1117.0,1117.87,48283,539.74,5082,28864,59.78
ACEINTEG,2025-10-21,24.84,24.85,25.0,24.55,25.0,24.86,24.86,561,0.14,19,398,70.94
ACI,2025-10-21,655.35,649.15,659.05,649.05,651.75,652.85,654.55,20687,135.41,1417,9973,48.21
ACLGATI,2025-10-21,61.91,62.47,62.47,61.31,61.31,61.46,61.66,74486,45.93,752,45972,61.72
ACMESOLAR,2025-10-21,274.75,276.4,293.75,276.4,289.05,290.35,289.0,1856019,5363.88,31328,464150,25.01
ACUTAAS,2025-10-21,1763.6,1765.0,1838.0,1763.6,1785.0,1788.6,1805.18,256418,4628.82,15627,100959,39.37
ADANIENSOL,2025-10-21,937.05,944.95,945.0,930.3,934.0,936.45,937.1,149680,1402.65,5043,73887,49.37
ADANIENT,2025-10-21,2548.1,2554.9,2562.0,2542.3,2548.5,2549.9,2552.61,101019,2578.63,5843,44048,43.61
ADANIGREEN,2025-10-21,1034.1,1044.0,1045.4,1036.3,1036.3,1040.0,1041.1,457938,4767.61,14155,255847,55.87
ADANIPORTS,2025-10-21,1467.0,1477.0,1481.5,1470.0,1472.0,1473.5,1476.16,394024,5816.43,14070,236777,60.11
ADANIPOWER,2025-10-21,170.3,171.5,174.39,168.0,169.0,170.78,172.1,26425161,45477.27,152776,8243436,31.2
ADFFOODS,2025-10-21,204.94,206.0,208.84,203.4,208.3,207.74,206.91,59831,123.79,1804,40459,67.62
ADL,2025-10-21,86.65,86.6,88.99,84.0,87.98,86.89,86.85,1266,1.1,33,473,37.36
ADOR,2025-10-21,1145.0,1159.4,1180.3,1154.15,1165.0,1168.35,1168.63,20071,234.56,2133,12811,63.84
ADROITINFO,2025-10-21,11.38,11.4,11.74,11.15,11.59,11.51,11.47,22922,2.63,74,19050,83.11
ADSL,2025-10-21,183.21,184.01,186.0,184.01,185.0,185.19,185.17,59812,110.75,1285,35005,58.53
ADVANIHOTR,2025-10-21,58.1,58.94,58.94,56.3,58.25,58.04,57.75,38236,22.08,616,25028,65.46
ADVENZYMES,2025-10-21,311.1,312.9,315.85,312.0,313.5,314.15,314.59,34442,108.35,1460,19466,56.52
AEGISLOG,2025-10-21,802.1,804.7,807.95,800.2,804.5,802.65,803.69,34224,275.05,2395,14465,42.27
AEGISVOPAK,2025-10-21,283.55,285.95,286.95,283.3,284.0,284.15,284.68,37898,107.89,1230,23139,61.06
AEROENTER,2025-10-21,77.72,78.35,78.9,76.59,76.59,77.03,77.49,103669,80.33,840,78801,76.01
AEROFLEX,2025-10-21,167.43,168.9,172.0,168.0,170.03,170.99,170.66,104686,178.66,2415,57739,55.17
AERONEU,2025-10-21,75.81,75.8,79.0,75.25,77.95,76.21,76.67,20205,15.49,391,7867,38.94
AETHER,2025-10-21,749.6,753.0,760.0,749.6,759.0,758.0,756.34,47735,361.04,1794,36322,76.09
AFCONS,2025-10-21,446.9,446.9,448.9,446.9,447.95,447.55,447.68,57427,257.09,2246,38009,66.21
AFFLE,2025-10-21,1886.4,1886.7,1912.2,1872.4,1880.0,1880.9,1888.14,37593,709.81,5164,19759,52.56
AFFORDABLE,2025-10-21,270.15,265.0,277.95,264.99,276.99,274.12,273.45,19395,53.04,386,15037,77.53
AFIL,2025-10-21,8.09,8.25,9.1,8.15,8.5,8.53,8.53,1458650,124.38,2279,919104,63.01
AFSL,2025-10-21,201.04,201.0,207.61,201.0,204.21,206.28,205.56,9120,18.75,125,7370,80.81
AGARIND,2025-10-21,885.1,900.0,904.95,888.3,898.75,897.75,896.81,4117,36.92,318,2947,71.58
AGARWALEYE,2025-10-21,540.45,540.45,546.1,535.5,540.0,542.55,542.82,22934,124.49,1902,9731,42.43
AGI,2025-10-21,821.2,821.2,853.0,821.0,841.1,848.85,842.99,52603,443.44,3799,26393,50.17
AGIIL,2025-10-21,269.5,270.7,273.0,267.1,267.7,268.9,269.56,159603,430.23,3216,60506,37.91
AGRITECH,2025-10-21,132.42,130.2,134.0,130.2,132.93,131.46,131.81,781,1.03,58,602,77.08
AHLADA,2025-10-21,59.96,61.46,61.46,59.5,60.35,60.25,60.77,4159,2.53,61,3503,84.23
AHLEAST,2025-10-21,152.67,148.55,154.89,148.55,153.35,151.84,151.71,2440,3.7,34,1973,80.86
AHLUCONT,2025-10-21,937.2,930.0,947.3,930.0,946.8,942.65,939.87,4872,45.79,931,2703,55.48
AIAENG,2025-10-21,3310.5,3340.0,3364.2,3314.3,3362.0,3356.1,3342.88,13297,444.5,2671,8871,66.71
AIIL,2025-10-21,3161.4,3169.0,3211.0,3169.0,3188.0,3190.9,3191.78,8013,255.76,1846,4949,61.76
AIRAN,2025-10-21,22.93,22.9,23.12,22.1,22.95,22.8,22.87,53325,12.2,468,45398,85.13
AIROLAM,2025-10-21,104.22,106.89,108.0,106.0,106.0,106.0,106.87,753,0.8,10,744,98.8
AJANTPHARM,2025-10-21,2436.3,2431.5,2458.0,2431.5,2455.1,2447.6,2446.87,6759,165.38,908,4126,61.04
AJAXENGG,2025-10-21,617.35,620.0,624.9,615.0,620.0,618.8,618.83,42366,262.17,1507,32006,75.73
AJMERA,2025-10-21,1023.6,1038.9,1044.0,1030.0,1042.0,1040.4,1039.05,21962,228.2,1350,14037,63.91
AJOONI,2025-10-21,5.13,5.17,5.21,5.06,5.16,5.15,5.16,96903,5.0,389,80096,82.66
AKASH,2025-10-21,27.46,27.46,28.0,26.5,27.67,26.92,27.25,5324,1.45,62,3565,66.96
AKG,2025-10-21,12.94,13.2,13.24,12.92,13.24,13.17,13.17,8820,1.16,62,7675,87.02
AKI,2025-10-21,8.47,8.47,8.75,8.25,8.65,8.56,8.4,21710,1.82,84,18730,86.27
AKSHARCHEM,2025-10-21,261.85,268.8,268.8,256.35,256.35,261.05,261.21,712,1.86,62,386,54.21
AKSHOPTFBR,2025-10-21,7.61,7.61,7.98,7.61,7.68,7.68,7.71,82841,6.38,240,65824,79.46
AKUMS,2025-10-21,466.85,472.0,472.0,468.95,470.8,470.35,470.49,26571,125.01,1269,18634,70.13
AKZOINDIA,2025-10-21,3350.6,3340.0,3394.0,3340.0,3374.9,3370.7,3371.12,3563,120.11,730,1881,52.79
ALANKIT,2025-10-21,11.52,12.29,12.29,10.51,12.0,11.89,11.79,376563,44.39,1250,204544,54.32
ALBERTDAVD,2025-10-21,794.2,794.2,804.0,789.0,790.0,797.75,795.28,1622,12.9,160,1225,75.52
ALEMBICLTD,2025-10-21,101.44,101.5,102.8,101.5,102.6,102.56,102.33,178225,182.38,2400,123470,69.28
ALICON,2025-10-21,854.75,862.8,872.0,854.75,870.0,866.45,864.73,2862,24.75,266,2418,84.49
ALIVUS,2025-10-21,920.6,920.0,933.05,920.0,927.0,924.4,926.43,8422,78.02,813,4683,55.6
ALKALI,2025-10-21,88.68,89.0,91.47,89.0,89.89,89.78,89.89,2350,2.11,43,1239,52.72
ALKEM,2025-10-21,5557.0,5557.0,5585.5,5508.5,5523.0,5547.5,5552.3,16880,937.23,3606,3380,20.02
ALKYLAMINE,2025-10-21,1900.0,1900.0,1928.1,1900.0,1901.4,1909.3,1915.22,4179,80.04,1139,2183,52.24
ALLCARGO,2025-10-21,33.57,33.73,34.13,33.66,34.08,33.99,33.97,569408,193.43,2875,323957,56.89
ALLDIGI,2025-10-21,876.5,869.0,898.05,869.0,897.0,896.65,890.13,2345,20.87,200,1896,80.85
ALLTIME,2025-10-21,285.6,286.95,290.0,286.0,286.4,286.75,287.75,71588,205.99,1800,48942,68.37
ALMONDZ,2025-10-21,17.11,17.44,17.44,17.13,17.4,17.32,17.33,35858,6.21,164,33695,93.97
ALOKINDS,2025-10-21,17.1,17.1,17.44,17.1,17.44,17.34,17.33,1667648,289.06,4000,1028615,61.79
ALPA,2025-10-21,86.77,86.77,88.99,86.77,88.75,88.3,88.24,5884,5.19,96,5187,88.15
ALPHA,2025-10-21,49.35,48.11,49.85,48.11,49.43,49.55,49.56,407874,202.14,2380,341950,83.85
ALPHAETF,2025-10-21,25.7,25.05,25.89,25.05,25.68,25.69,25.74,241659,62.19,876,191742,79.34
ALPHAGEO,2025-10-21,245.18,248.0,255.0,245.25,249.9,248.15,249.28,1471,3.67,139,864,58.74
ALPL30IETF,2025-10-21,28.05,28.04,28.22,27.91,28.1,28.03,28.06,155048,43.51,909,139437,89.93
AMANTA,2025-10-21,126.0,128.9,129.49,125.0,126.0,127.02,127.84,56720,72.51,732,38540,67.97
AMBER,2025-10-21,8245.0,8300.0,8315.5,8080.0,8244.0,8245.5,8246.87,30414,2508.2,5607,6179,20.32
AMBICAAGAR,2025-10-21,25.44,25.0,25.98,25.0,25.57,25.45,25.2,7122,1.8,123,6665,93.58
AMBIKCO,2025-10-21,1363.7,1363.7,1419.6,1356.0,1375.5,1382.4,1389.71,3710,51.56,498,2644,71.27
AMBUJACEM,2025-10-21,565.5,569.0,569.2,565.7,568.0,567.5,567.79,166817,947.17,5059,93512,56.06
AMDIND,2025-10-21,54.98,55.0,56.0,54.1,56.0,55.76,55.48,3996,2.22,83,2822,70.62
AMJLAND,2025-10-21,53.28,53.9,55.0,53.55,53.65,54.26,54.46,5424,2.95,109,4334,79.9
AMNPLST,2025-10-21,207.36,207.36,242.0,195.66,224.0,230.53,228.95,80047,183.27,2313,23423,29.26
AMRUTANJAN,2025-10-21,715.75,725.0,725.0,708.95,710.0,716.3,719.13,2639,18.98,407,1431,54.23
ANANDRATHI,2025-10-21,3202.3,3224.0,3248.0,3165.1,3175.0,3191.1,3202.41,52729,1688.6,9207,21887,41.51
ANANTRAJ,2025-10-21,636.0,640.0,645.8,639.55,643.95,644.05,643.81,1178713,7588.64,23758,705270,59.84
ANDHRAPAP,2025-10-21,77.78,78.16,78.49,77.59,78.25,78.12,78.11,15449,12.07,370,11330,73.34
ANDHRSUGAR,2025-10-21,80.65,81.2,81.4,80.2,80.4,80.39,80.6,26934,21.71,687,16823,62.46
ANGELONE,2025-10-21,2499.6,2509.0,2513.8,2486.0,2488.0,2497.8,2501.04,109769,2745.37,6875,35602,32.43
ANIKINDS,2025-10-21,78.69,80.8,80.8,77.0,80.0,80.12,79.51,14774,11.75,200,11507,77.89
ANMOL,2025-10-21,15.22,14.92,15.25,14.92,15.25,15.13,15.11,21316,3.22,129,13328,62.53
ANTELOPUS,2025-10-21,510.55,512.0,525.0,506.55,517.25,511.95,513.76,7717,39.65,423,5586,72.39
ANTGRAPHIC,2025-10-21,1.05,1.05,1.07,1.05,1.07,1.06,1.06,59297,0.63,127,41385,69.79
ANTHEM,2025-10-21,727.1,739.95,749.0,731.65,743.1,742.15,743.28,89907,668.26,4642,44247,49.21
ANUHPHR,2025-10-21,80.39,81.49,81.85,80.39,81.8,81.12,81.2,11412,9.27,324,9780,85.7
ANUP,2025-10-21,2344.4,2355.0,2375.0,2282.2,2335.0,2320.8,2329.93,10109,235.53,2065,4485,44.37
ANURAS,2025-10-21,1093.0,1099.0,1109.0,1095.0,1097.0,1098.0,1099.43,174350,1916.85,3108,92192,52.88
AONEGOLD,2025-10-21,11.9,11.6,12.2,11.6,11.99,11.98,11.99,419668,50.31,2505,344738,82.15
AONELIQUID,2025-10-21,1030.87,1030.89,1030.89,1030.87,1030.89,1030.87,1030.87,15282,157.54,260,12247,80.14
AONENIFTY,2025-10-21,10.56,10.88,10.88,10.5,10.58,10.58,10.6,142662,15.13,1105,123591,86.63
AONETOTAL,2025-10-21,11.98,12.34,12.34,12.0,12.02,12.05,12.05,256447,30.91,1292,216455,84.41
APARINDS,2025-10-21,8566.0,8638.5,8695.0,8500.0,8550.0,8584.0,8609.04,8604,740.72,2288,2394,27.82
APCL,2025-10-21,126.92,125.0,131.99,125.0,127.0,126.37,126.18,845,1.07,59,628,74.32
APCOTEXIND,2025-10-21,357.45,357.45,363.0,357.0,362.0,359.55,360.02,3362,12.1,246,2111,62.79
APEX,2025-10-21,230.02,231.9,232.76,229.85,231.0,231.27,230.95,6718,15.52,377,5048,75.14
APLAPOLLO,2025-10-21,1749.1,1745.1,1767.5,1745.1,1755.0,1752.1,1755.95,38844,682.08,5313,17468,44.97
APLLTD,2025-10-21,932.0,932.0,937.75,930.2,935.0,932.8,933.5,2859,26.69,604,1311,45.86
APOLLO,2025-10-21,288.85,290.8,301.0,290.25,299.0,298.3,296.68,1424687,4226.73,16600,540443,37.94
APOLLOHOSP,2025-10-21,8010.0,8038.0,8058.5,7992.5,8010.0,8012.0,8024.47,31082,2494.17,5442,16742,53.87
APOLLOPIPE,2025-10-21,331.35,331.35,335.0,329.55,335.0,333.95,333.27,25109,83.68,787,14998,59.73
APOLLOTYRE,2025-10-21,507.0,510.0,518.0,507.4,513.05,515.15,514.4,537454,2764.65,14224,203252,37.82
APOLSINHOT,2025-10-21,1329.1,1325.1,1361.0,1321.0,1350.0,1344.3,1329.6,259,3.44,39,200,77.22
APTECHT,2025-10-21,113.45,114.45,115.9,113.31,115.75,115.47,114.94,30820,35.42,503,23078,74.88
APTUS,2025-10-21,314.95,319.45,319.45,313.0,315.65,315.15,316.32,225854,714.42,4710,143100,63.36
ARCHIDPLY,2025-10-21,100.36,100.39,101.8,100.0,100.45,100.65,100.67,4581,4.61,57,3659,79.87
ARCHIES,2025-10-21,19.83,19.92,20.48,19.55,20.05,20.18,20.15,10001,2.02,76,6855,68.54
ARE&M,2025-10-21,987.2,994.95,999.95,992.15,996.3,996.9,997.23,93133,928.75,7221,49902,53.6
ARENTERP,2025-10-21,46.51,44.32,48.29,44.32,44.34,45.37,44.98,544,0.24,8,304,55.88
ARIES,2025-10-21,360.5,361.95,374.0,361.95,371.35,371.8,370.37,18203,67.42,636,11342,62.31
ARIHANTCAP,2025-10-21,100.68,100.5,101.25,100.08,100.16,100.38,100.52,50803,51.07,784,28531,56.16
ARIHANTSUP,2025-10-21,420.9,425.15,425.2,414.6,415.0,422.85,422.95,6234,26.37,194,3636,58.33
ARISINFRA,2025-10-21,172.42,175.0,176.3,174.0,175.05,175.58,175.23,583507,1022.49,5318,356965,61.6
ARKADE,2025-10-21,165.9,166.69,168.0,166.0,166.95,167.31,167.15,136498,228.16,3269,69360,50.89
ARMANFIN,2025-10-21,1660.3,1680.0,1697.0,1664.7,1688.0,1690.1,1684.67,12146,204.62,1422,8703,71.65
AROGRANITE,2025-10-21,35.14,36.45,36.45,35.02,35.5,35.67,35.73,5470,1.95,57,3988,72.91
ARROWGREEN,2025-10-21,557.75,569.0,570.0,560.0,567.95,564.1,564.62,10052,56.76,757,6858,68.57
ARSSBL,2025-10-21,503.45,508.0,528.1,508.0,519.5,519.05,520.89,620385,3231.52,15871,243489,39.25
ARTEMISMED,2025-10-21,242.31,245.2,246.31,239.94,241.95,242.39,243.02,39468,95.92,1720,23046,58.39
ARTNIRMAN,2025-10-21,49.65,51.9,54.0,50.1,53.8,53.12,53.1,1472,0.78,29,1468,99.73
ARVIND,2025-10-21,307.4,307.4,309.25,305.55,307.0,306.95,307.48,29957,92.11,1521,18951,63.37
ARVINDFASN,2025-10-21,504.4,504.4,514.6,504.4,511.65,509.9,510.59,19935,101.79,1774,10358,51.96
ARVSMART,2025-10-21,624.2,627.0,630.0,621.0,628.0,627.45,626.26,11231,70.34,661,8299,73.89
