symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
20MICRONS,2026-03-09,166.87,161.3,166.87,160.0,164.0,163.78,162.33,66311,107.64,2044,34372,51.83
21STCENMGM,2026-03-09,33.79,33.12,34.35,33.12,33.14,33.9,33.89,1860,0.63,33,1740,93.55
360ONE,2026-03-09,1064.2,1049.1,1058.0,1022.4,1032.0,1035.1,1034.12,1439537,14886.58,66502,838854,58.27
3IINFOLTD,2026-03-09,13.36,13.3,13.3,12.68,12.99,12.99,12.99,433595,56.33,1403,353355,81.49
3MINDIA,2026-03-09,34320.0,34005.0,34005.0,33010.0,33400.0,33445.0,33383.6,2281,761.48,1481,909,39.85
3PLAND,2026-03-09,30.99,30.0,30.75,29.35,30.47,30.31,30.02,37067,11.13,81,36003,97.13
5PAISA,2026-03-09,302.65,299.0,301.0,292.4,295.9,296.8,296.56,31681,93.95,1330,17922,56.57
63MOONS,2026-03-09,574.3,560.0,564.5,551.0,563.95,558.7,558.02,79207,441.99,3114,50565,63.84
AAATECH,2026-03-09,92.94,92.57,92.57,89.67,89.8,90.22,90.94,17443,15.86,404,10920,62.6
AADHARHFC,2026-03-09,455.05,441.6,500.55,441.6,482.0,481.7,470.27,1635850,7692.87,41665,288703,17.65
AAKASH,2026-03-09,9.79,10.2,11.74,10.2,11.06,11.28,11.21,7796049,874.06,11387,1639693,21.03
AAREYDRUGS,2026-03-09,71.65,69.5,69.98,66.51,69.98,69.41,68.31,74156,50.65,878,44991,60.67
AARNAV,2026-03-09,25.31,24.55,24.8,22.99,24.4,24.35,24.21,17335,4.2,221,13961,80.54
AARON,2026-03-09,150.68,143.55,150.0,143.55,150.0,147.0,146.29,8884,13.0,300,5505,61.97
AARTECH,2026-03-09,42.03,42.0,42.0,38.81,39.55,39.66,39.82,26884,10.71,712,20930,77.85
AARTIDRUGS,2026-03-09,357.1,356.5,356.5,344.55,349.5,348.95,348.14,140418,488.85,6144,72807,51.85
AARTIIND,2026-03-09,419.35,404.65,411.4,399.4,410.0,409.25,406.81,719433,2926.75,25768,331791,46.12
AARTIPHARM,2026-03-09,700.15,685.0,686.0,670.85,685.0,681.05,678.52,106712,724.06,10256,53403,50.04
AARTISURF,2026-03-09,380.65,380.0,380.0,335.55,353.5,350.5,353.28,30994,109.5,1436,20669,66.69
AARVI,2026-03-09,130.06,122.0,129.7,122.0,123.31,124.04,125.56,18234,22.89,469,11978,65.69
AAVAS,2026-03-09,1227.9,1204.0,1216.0,1152.1,1200.0,1199.6,1186.02,349580,4146.08,38764,189308,54.15
