symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
20MICRONS,2026-05-22,174.96,177.58,182.45,175.11,177.5,177.0,179.29,180816,324.19,3089,70657,39.08
21STCENMGM,2026-05-22,31.61,31.91,32.24,31.22,32.24,32.24,32.09,617,0.2,30,614,99.51
360ONE,2026-05-22,1111.8,1110.6,1121.8,1103.0,1114.1,1112.4,1114.47,482891,5381.68,21561,306144,63.4
3BBLACKBIO,2026-05-22,1201.8,1210.1,1262.2,1190.0,1190.0,1206.1,1220.61,8298,101.29,1152,5633,67.88
3IINFOLTD,2026-05-22,17.62,17.58,17.63,17.13,17.45,17.39,17.42,370566,64.56,1574,228691,61.71
3MINDIA,2026-05-22,32200.0,32500.0,34545.0,32350.0,33185.0,33315.0,33370.07,49022,16358.68,22356,6123,12.49
3PLAND,2026-05-22,31.66,31.5,32.55,30.41,31.5,31.29,31.22,4642,1.45,182,2591,55.82
5PAISA,2026-05-22,318.65,321.85,324.0,314.0,316.2,317.6,317.31,21999,69.8,876,6473,29.42
63MOONS,2026-05-22,682.7,684.8,689.55,677.0,678.15,680.15,682.77,38522,263.02,1422,20551,53.35
A2ZINFRA,2026-05-22,15.05,15.2,15.7,15.0,15.65,15.53,15.36,253642,38.96,599,203382,80.18
AAATECH,2026-05-22,92.18,93.04,93.75,92.0,93.18,92.72,92.85,4276,3.97,156,2864,66.98
AADHARHFC,2026-05-22,474.7,473.5,486.4,469.05,476.1,475.45,476.69,332571,1585.33,9232,212921,64.02
AARNAV,2026-05-22,23.85,23.99,23.99,22.0,23.42,23.26,23.26,71935,16.73,206,62133,86.37
AARON,2026-05-22,120.44,123.5,123.5,118.35,119.6,119.17,119.75,10202,12.22,460,7182,70.4
AARTECH,2026-05-22,41.97,41.97,42.54,41.54,42.21,42.29,42.24,70853,29.93,295,58891,83.12
AARTIDRUGS,2026-05-22,380.4,379.35,393.45,373.5,389.4,389.95,385.87,199042,768.03,6249,91952,46.2
AARTIIND,2026-05-22,482.75,482.0,482.05,473.25,477.2,476.2,477.03,583874,2785.27,15612,204928,35.1
AARTIPHARM,2026-05-22,703.5,703.5,727.25,702.65,711.3,713.1,717.24,128328,920.42,9004,59050,46.01
AARTISURF,2026-05-22,384.85,383.2,389.8,380.2,384.0,382.5,384.8,10797,41.55,551,7979,73.9
AARVI,2026-05-22,128.11,123.05,129.5,123.05,128.23,128.38,128.33,17010,21.83,323,13017,76.53
AAVAS,2026-05-22,1374.8,1356.9,1412.0,1356.0,1394.0,1396.9,1389.59,176013,2445.85,7771,149630,85.01
ABB,2026-05-22,6598.0,6600.5,6741.0,6594.0,6697.5,6689.5,6675.28,371775,24817.03,44502,171991,46.26
ABBOTINDIA,2026-05-22,27715.0,27745.0,27985.0,27185.0,27855.0,27830.0,27647.79,8815,2437.15,4666,4683,53.13
ABCAPITAL,2026-05-22,349.4,351.0,357.8,347.3,357.6,357.3,353.43,3506988,12394.59,42146,1447711,41.28
ABCOTS,2026-05-22,217.25,218.65,221.42,206.1,215.0,213.07,214.94,51291,110.25,1550,25291,49.31
ABDL,2026-05-22,536.95,528.6,555.35,528.6,536.95,536.3,543.83,224435,1220.55,5980,77043,34.33
ABFRL,2026-05-22,66.76,65.7,68.25,65.7,67.2,67.35,67.41,4299249,2898.31,22490,1841712,42.84
ABGSEC,2026-05-22,110.4,111.0,112.1,110.73,110.73,110.73,111.59,207,0.23,9,146,70.53
ABINFRA,2026-05-22,12.88,12.9,13.16,12.8,13.0,13.02,13.0,859717,111.75,737,640049,74.45
ABLBL,2026-05-22,103.4,103.52,104.74,101.51,102.15,102.02,102.58,880442,903.15,14285,515200,58.52
ABMINTLLTD,2026-05-22,45.5,43.4,45.0,43.4,44.43,44.19,44.27,134,0.06,11,55,41.04
ABMKNO,2026-05-22,220.46,220.0,233.0,218.1,233.0,231.8,228.4,953,2.18,34,831,87.2
ABREL,2026-05-22,1254.7,1268.4,1277.0,1241.9,1249.0,1249.7,1261.01,125739,1585.58,9321,51064,40.61
ABSL10BANK,2026-05-22,159.68,160.96,161.87,160.35,160.35,160.35,161.02,349,0.56,8,319,91.4
ABSLAMC,2026-05-22,1021.5,1025.7,1027.8,1005.1,1014.5,1011.7,1014.79,105597,1071.59,12836,51813,49.07
ABSLBANETF,2026-05-22,54.67,54.68,55.5,54.68,55.41,55.39,55.24,22575,12.47,244,15280,67.69
ABSLLIQUID,2026-05-22,1000.0,1000.0,1000.01,999.99,1000.01,1000.01,1000.0,1206,12.06,20,1097,90.96
ABSLMSCIN,2026-05-22,28.99,28.92,28.92,28.92,28.92,28.92,28.92,35,0.01,1,35,100.0
ABSLNN50ET,2026-05-22,73.12,73.12,73.55,72.77,73.44,73.38,73.19,5404,3.96,140,5164,95.56
ABSLPSE,2026-05-22,10.82,10.71,10.81,10.71,10.81,10.73,10.74,622239,66.8,454,593896,95.44
ACC,2026-05-22,1360.8,1362.8,1370.4,1357.1,1359.0,1360.0,1363.74,141070,1923.83,11197,84828,60.13
ACCELYA,2026-05-22,1120.6,1130.0,1130.0,1113.1,1123.8,1122.2,1119.91,3788,42.42,441,2614,69.01
ACCURACY,2026-05-22,5.55,5.56,5.8,5.56,5.7,5.71,5.65,68269,3.86,409,48858,71.57
ACE,2026-05-22,867.7,872.0,897.0,867.75,881.0,881.9,882.65,290673,2565.63,12432,141083,48.54
ACEINTEG,2026-05-22,19.79,19.7,20.15,19.7,19.9,20.09,20.09,1132,0.23,34,1108,97.88
ACI,2026-05-22,521.85,523.95,538.4,518.0,530.1,534.9,531.85,127644,678.87,7645,49050,38.43
ACL,2026-05-22,56.05,56.5,56.66,54.75,54.75,55.11,55.77,11545,6.44,205,9371,81.17
ACMESOLAR,2026-05-22,282.65,282.95,295.8,282.95,291.45,290.2,291.26,2597818,7566.53,30295,1073100,41.31
ACSTECH,2026-05-22,33.81,34.35,34.48,33.14,33.99,33.88,33.61,130465,43.85,575,62121,47.62
ACUTAAS,2026-05-22,3000.4,2997.0,3001.0,2930.0,2953.2,2951.2,2959.26,333925,9881.72,36695,153530,45.98
ADANIENSOL,2026-05-22,1342.2,1365.0,1391.8,1363.1,1366.0,1367.9,1373.63,3344194,45936.93,86541,1111079,33.22
ADANIENT,2026-05-22,2697.6,2710.2,2745.0,2706.1,2719.1,2717.3,2724.58,1094843,29829.87,45849,269273,24.59
ADANIGREEN,2026-05-22,1358.2,1364.0,1381.8,1359.0,1361.5,1362.3,1370.98,1681359,23051.16,38449,347566,20.67
ADANIPORTS,2026-05-22,1793.3,1793.3,1802.3,1780.5,1785.0,1786.9,1791.01,1487044,26633.1,67848,762061,51.25
ADANIPOWER,2026-05-22,219.33,220.5,222.47,219.0,219.41,219.32,220.56,17090471,37695.36,99852,5278940,30.89
ADFFOODS,2026-05-22,263.85,264.35,288.0,263.2,283.2,283.25,280.82,662223,1859.69,15811,216163,32.64
ADL,2026-05-22,78.27,78.0,78.0,74.0,78.0,77.12,75.97,2362,1.79,55,1203,50.93
ADOR,2026-05-22,1091.2,1100.0,1100.0,1066.2,1071.0,1072.1,1072.93,10597,113.7,1154,5565,52.51
ADROITINFO,2026-05-22,8.87,9.1,9.29,8.7,8.77,8.81,8.87,60793,5.39,308,45811,75.36
ADSL,2026-05-22,129.68,125.0,127.99,120.0,122.8,122.22,122.35,502871,615.27,7111,179514,35.7
ADVAIT,2026-05-22,2090.2,2101.0,2115.9,1990.2,2009.0,2007.4,2025.35,42142,853.52,5563,21880,51.92
ADVANCE,2026-05-22,102.95,104.0,108.64,102.68,103.5,104.34,106.09,290207,307.88,2849,133514,46.01
ADVANIHOTR,2026-05-22,53.02,53.83,53.83,52.75,53.35,53.36,53.24,10947,5.83,313,7008,64.02
ADVENTHTL,2026-05-22,141.06,141.97,149.58,140.3,145.81,144.35,144.94,152648,221.25,2857,85415,55.96
ADVENZYMES,2026-05-22,386.2,389.85,390.0,371.35,376.9,375.15,377.83,138453,523.11,4751,68435,49.43
AEGISLOG,2026-05-22,727.85,725.55,732.1,720.75,725.0,724.45,726.05,218048,1583.15,10928,112966,51.81
AEGISVOPAK,2026-05-22,205.05,205.25,209.1,202.92,207.9,207.37,206.34,391874,808.6,8704,201470,51.41
