symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
20MICRONS,2026-08-07,191.71,191.71,193.59,187.9,187.9,189.07,190.71,126589,241.41,2798,73242,57.86
21STCENMGM,2026-08-07,43.3,44.0,44.0,43.07,43.7,43.58,43.76,7409,3.24,89,4708,63.54
360ONE,2026-08-07,1186.0,1185.6,1192.8,1151.0,1168.1,1168.1,1173.81,1707560,20043.54,57598,1012314,59.28
3BBLACKBIO,2026-08-07,1205.9,1193.0,1224.5,1193.0,1216.2,1207.7,1207.39,1984,23.95,298,1025,51.66
3IINFOLTD,2026-08-07,25.5,25.33,25.94,25.2,25.65,25.79,25.67,1181251,303.19,3551,650709,55.09
3MINDIA,2026-08-07,36000.0,35940.0,36270.0,35870.0,35925.0,36035.0,36048.86,3976,1433.3,1288,3000,75.45
3PLAND,2026-08-07,32.1,32.12,32.5,31.9,32.2,32.12,32.22,1519,0.49,34,1246,82.03
5PAISA,2026-08-07,366.1,372.4,372.4,364.45,366.95,367.55,368.19,22993,84.66,1353,12968,56.4
63MOONS,2026-08-07,858.2,856.8,889.8,847.15,858.5,857.75,868.89,473840,4117.13,15237,173714,36.66
A2ZINFRA,2026-08-07,16.73,17.0,17.5,16.73,17.38,17.39,17.3,443981,76.81,626,306870,69.12
AAATECH,2026-08-07,93.12,93.12,95.2,90.62,92.2,91.95,93.82,64491,60.51,240,58767,91.12
AADHARHFC,2026-08-07,514.9,515.4,516.8,502.0,502.0,506.4,507.97,271851,1380.93,18790,166499,61.25
AAKASH,2026-08-07,8.99,9.0,9.07,8.97,9.02,8.99,9.01,55441,5.0,276,51496,92.88
AARNAV,2026-08-07,30.86,32.5,32.5,30.38,30.6,30.82,31.15,76907,23.96,1087,13935,18.12
AARON,2026-08-07,134.57,133.0,134.99,132.0,134.86,134.24,134.0,7072,9.48,235,3886,54.95
AARTIDRUGS,2026-08-07,410.85,411.0,418.15,409.85,418.15,416.2,414.67,90024,373.3,3679,44743,49.7
AARTIIND,2026-08-07,501.2,500.0,510.0,496.55,500.6,502.1,505.29,1422279,7186.7,33459,638236,44.87
AARTIPHARM,2026-08-07,692.25,691.0,706.0,683.0,684.2,685.85,693.59,179726,1246.56,13762,89790,49.96
AARTISURF,2026-08-07,551.35,545.0,549.95,526.5,547.4,535.95,537.13,30784,165.35,1072,21183,68.81
AARVI,2026-08-07,155.87,154.79,157.79,152.5,152.6,153.71,154.67,20116,31.11,534,11202,55.69
AASTHA,2026-08-07,82.88,78.41,82.7,74.6,74.6,74.6,75.86,6003229,4554.05,25371,2002757,33.36
AAVAS,2026-08-07,1376.3,1365.0,1396.3,1354.1,1366.6,1371.5,1372.29,64072,879.26,11385,32711,51.05
ABB,2026-08-07,7735.0,7657.5,7670.0,7580.0,7600.0,7600.0,7610.66,179322,13647.59,20083,62722,34.98
ABBOTINDIA,2026-08-07,27855.0,27855.0,27975.0,27600.0,27810.0,27835.0,27762.95,7629,2118.04,4396,4348,56.99
ABCAPITAL,2026-08-07,421.5,419.0,420.5,404.7,408.05,408.05,408.75,4840967,19787.64,51253,2239226,46.26
ABCOTS,2026-08-07,200.87,201.9,201.9,197.0,200.8,198.71,200.28,10218,20.46,227,8739,85.53
ABDL,2026-08-07,605.0,608.7,617.75,584.75,596.0,599.25,598.31,551365,3298.9,21654,229558,41.63
ABFRL,2026-08-07,63.26,63.26,63.82,62.3,63.41,63.33,63.14,6582044,4155.87,28482,3067225,46.6
ABGSEC,2026-08-07,114.89,114.89,115.2,114.31,114.31,114.31,114.59,801,0.92,13,358,44.69
ABINFRA,2026-08-07,10.01,10.01,10.16,9.9,9.96,9.96,9.97,255072,25.43,557,180215,70.65
ABLBL,2026-08-07,94.66,94.66,94.94,93.5,94.29,93.86,94.12,387410,364.64,4845,217235,56.07
ABMINTLLTD,2026-08-07,41.41,44.78,44.78,41.36,41.36,41.61,42.84,1268,0.54,29,785,61.91
ABMKNO,2026-08-07,190.87,191.0,191.0,185.0,189.88,186.21,187.74,1192,2.24,42,1087,91.19
ABREL,2026-08-07,1390.8,1400.0,1411.0,1378.0,1381.2,1382.8,1390.53,265738,3695.17,10037,211162,79.46
ABSL10BANK,2026-08-07,171.96,171.23,174.0,169.5,172.5,170.35,171.22,129124,221.09,233,127936,99.08
ABSLAMC,2026-08-07,1024.1,1028.5,1034.7,1006.1,1030.0,1025.3,1017.84,198652,2021.97,19178,114775,57.78
ABSLBANETF,2026-08-07,59.43,59.03,59.56,59.03,59.3,59.34,59.21,363165,215.04,201,352428,97.04
ABSLLIQUID,2026-08-07,999.99,999.99,1000.01,999.99,999.99,1000.0,1000.0,3869,38.69,17,3368,87.05
ABSLMSCIN,2026-08-07,30.22,30.37,30.7,30.0,30.7,30.44,30.14,608,0.18,16,545,89.64
ABSLNN50ET,2026-08-07,78.38,80.33,80.33,77.28,78.45,78.45,78.57,9608,7.55,205,7090,73.79
ABSLPSE,2026-08-07,10.34,10.41,10.41,10.28,10.39,10.34,10.33,79832,8.24,441,61977,77.63
ACC,2026-08-07,1378.4,1370.0,1373.9,1360.0,1366.5,1362.8,1366.64,160343,2191.31,14381,76805,47.9
ACCELYA,2026-08-07,1137.2,1134.0,1151.9,1134.0,1146.0,1143.6,1145.96,4003,45.87,487,3156,78.84
ACE,2026-08-07,1113.7,1113.7,1120.0,1082.1,1085.9,1094.3,1102.9,234548,2586.82,16290,111415,47.5
ACEINTEG,2026-08-07,19.0,19.5,19.5,18.46,19.26,18.88,18.84,1476,0.28,71,1096,74.25
