symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
20MICRONS,2025-06-27,230.29,234.0,237.86,228.51,230.73,229.36,232.01,103324,239.72,2164,50355,48.74
21STCENMGM,2025-06-27,61.2,59.97,59.97,59.97,59.97,59.97,59.97,3600,2.16,136,3600,100.0
360ONE,2025-06-27,1164.85,1180.0,1208.7,1170.0,1200.0,1195.7,1190.24,3387240,40316.22,101267,2125500,62.75
3IINFOLTD,2025-06-27,25.52,25.69,25.88,25.2,25.27,25.23,25.38,330389,83.85,1919,178074,53.9
3MINDIA,2025-06-27,28605.0,28865.0,28865.0,28500.0,28650.0,28650.0,28633.82,2909,832.96,1665,1542,53.01
3PLAND,2025-06-27,50.64,52.14,52.14,50.28,50.86,50.9,51.04,6308,3.22,173,4987,79.06
5PAISA,2025-06-27,410.65,412.9,417.0,408.0,408.2,409.75,412.46,23860,98.41,2453,9911,41.54
63MOONS,2025-06-27,992.95,1000.0,1042.2,993.15,1009.6,1008.45,1018.43,458096,4665.38,18424,187123,40.85
AAATECH,2025-06-27,83.38,83.32,83.96,82.38,82.38,82.53,82.97,15214,12.62,670,10004,65.76
AADHARHFC,2025-06-27,444.0,445.0,451.15,443.1,444.0,444.2,446.86,280701,1254.34,14016,141939,50.57
AARON,2025-06-27,363.5,363.5,370.0,358.0,361.3,360.4,364.29,11512,41.94,1269,7065,61.37
AARTECH,2025-06-27,73.07,73.8,73.8,70.55,70.9,70.91,71.65,71049,50.91,1278,45659,64.26
AARTIDRUGS,2025-06-27,445.4,447.45,456.4,443.45,455.0,453.2,449.63,198535,892.67,13384,92141,46.41
AARTIIND,2025-06-27,475.9,475.0,480.5,473.2,478.0,479.15,477.31,959660,4580.51,32649,357942,37.3
AARTIPHARM,2025-06-27,872.85,880.95,881.0,857.0,860.55,859.55,865.14,167121,1445.82,12562,90922,54.4
AARVI,2025-06-27,111.03,110.11,111.79,110.11,110.63,110.8,110.94,3088,3.43,112,2351,76.13
AAVAS,2025-06-27,1942.6,1945.0,2007.0,1930.9,2006.0,1986.2,1978.65,295316,5843.26,21547,174465,59.08
ABAN,2025-06-27,56.72,57.8,57.9,56.5,56.5,57.26,57.48,51968,29.87,1002,27589,53.09
ABB,2025-06-27,6012.5,6060.0,6175.0,6030.0,6080.0,6069.5,6099.81,241168,14710.79,37066,104890,43.49
ABBOTINDIA,2025-06-27,33055.0,33060.0,37000.0,32955.0,34800.0,34940.0,34376.64,53061,18240.59,19416,27356,51.56
ABCAPITAL,2025-06-27,276.8,276.8,277.98,268.63,269.2,269.33,271.21,5491582,14893.82,57900,2078036,37.84
ABDL,2025-06-27,435.25,434.7,435.6,423.75,425.5,425.0,428.66,220314,944.4,9067,133301,60.51
ABFRL,2025-06-27,74.39,74.5,75.36,74.32,74.77,74.7,74.75,9705451,7254.55,29811,5231535,53.9
ABGSEC,2025-06-27,109.99,109.41,109.95,109.41,109.51,109.51,109.64,1531,1.68,15,1275,83.28
ABMINTLLTD,2025-06-27,64.37,67.58,67.58,67.45,67.58,67.58,67.57,11285,7.63,51,6028,53.42
ABREL,2025-06-27,2334.5,2344.0,2415.8,2344.0,2414.0,2397.6,2389.86,347815,8312.29,15283,259169,74.51
ABSLAMC,2025-06-27,777.1,782.3,785.05,760.15,768.0,763.95,770.96,392305,3024.5,30606,242178,61.73
ABSLBANETF,2025-06-27,58.0,57.65,58.78,57.65,58.12,58.37,58.47,338450,197.88,389,307473,90.85
ABSLLIQUID,2025-06-27,1000.0,1000.01,1000.01,999.99,1000.01,999.99,1000.0,4388,43.88,21,2530,57.66
ABSLNN50ET,2025-06-27,71.09,71.09,71.94,71.07,71.74,71.44,71.81,73945,53.1,319,38366,51.88
ABSLPSE,2025-06-27,10.18,10.28,10.29,9.93,10.22,10.24,10.24,2523885,258.53,583,2343903,92.87
ACC,2025-06-27,1881.7,1895.0,1935.1,1886.4,1922.0,1920.2,1919.88,875256,16803.89,44684,435347,49.74
