symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
20MICRONS,2026-04-24,180.77,180.62,181.01,174.3,175.2,175.6,176.17,73356,129.23,1415,45586,62.14
21STCENMGM,2026-04-24,35.06,35.76,35.76,35.76,35.76,35.76,35.76,10954,3.92,42,10954,100.0
360ONE,2026-04-24,1052.25,1056.9,1062.45,1030.2,1038.0,1039.6,1039.36,896365,9316.46,34907,363380,40.54
3BBLACKBIO,2026-04-24,1291.8,1300.05,1333.8,1282.65,1333.8,1322.35,1313.77,4115,54.06,731,2443,59.37
3IINFOLTD,2026-04-24,17.6,17.61,17.69,17.06,17.67,17.64,17.51,790069,138.33,1368,564386,71.44
3MINDIA,2026-04-24,33135.0,33135.0,33235.0,32230.0,32550.0,32635.0,32605.89,3764,1227.29,1879,1588,42.19
3PLAND,2026-04-24,35.68,36.0,36.0,34.0,35.2,35.15,34.97,1390,0.49,127,778,55.97
5PAISA,2026-04-24,336.59,336.0,343.18,324.02,324.2,325.56,332.65,85299,283.74,3277,29583,34.68
63MOONS,2026-04-24,694.45,697.0,714.0,676.6,682.4,682.7,695.75,141373,983.6,5082,64143,45.37
AAATECH,2026-04-24,99.21,99.97,99.98,98.01,98.39,98.19,98.43,17207,16.94,357,13332,77.48
AADHARHFC,2026-04-24,488.55,484.65,492.95,484.5,490.0,488.1,486.9,165862,807.58,8884,105425,63.56
AAREYDRUGS,2026-04-24,89.88,90.0,91.44,85.39,88.25,88.33,87.23,235965,205.83,1427,150548,63.8
AARNAV,2026-04-24,23.8,23.74,24.47,22.9,23.0,22.99,23.11,65176,15.06,363,54997,84.38
AARON,2026-04-24,141.01,141.3,143.0,138.91,142.68,140.51,140.16,13746,19.27,250,9144,66.52
AARTECH,2026-04-24,50.55,50.25,51.25,49.84,50.12,50.04,50.51,22218,11.22,392,10735,48.32
AARTIDRUGS,2026-04-24,371.95,371.05,374.2,363.25,367.05,366.7,366.22,111576,408.62,6621,63270,56.71
AARTIIND,2026-04-24,465.9,470.3,476.35,458.55,471.55,472.75,468.84,1186898,5564.69,30276,466600,39.31
AARTIPHARM,2026-04-24,688.55,688.35,699.8,676.8,691.8,692.95,688.73,162905,1121.97,10533,67630,41.51
AARTISURF,2026-04-24,402.15,401.6,401.85,385.0,388.3,389.4,391.91,10634,41.68,937,6262,58.89
AARVI,2026-04-24,132.62,133.62,133.62,126.01,129.32,128.45,128.97,10600,13.67,311,6029,56.88
AAVAS,2026-04-24,1411.3,1411.2,1422.4,1387.7,1413.0,1411.3,1402.75,122362,1716.43,11079,85284,69.7
ABANSENT,2026-04-24,26.45,26.9,27.8,24.25,25.5,26.25,26.33,5977,1.57,112,4554,76.19
ABB,2026-04-24,7575.5,7575.5,7594.0,7304.0,7338.0,7328.5,7408.78,343502,25449.3,48247,130130,37.88
ABBOTINDIA,2026-04-24,25410.0,25390.0,25510.0,25150.0,25195.0,25180.0,25295.57,7767,1964.71,3844,5130,66.05
ABCAPITAL,2026-04-24,349.75,349.95,351.55,338.65,341.3,340.6,341.52,4618358,15772.57,35362,2896004,62.71
ABCOTS,2026-04-24,388.55,389.9,392.95,310.85,310.85,310.85,330.62,317713,1050.44,6527,149879,47.17
ABDL,2026-04-24,561.15,562.0,569.95,548.65,559.0,558.3,558.0,189555,1057.72,5900,88120,46.49
ABFRL,2026-04-24,63.2,63.45,63.79,61.41,61.89,61.79,62.18,2380448,1480.06,11017,893901,37.55
ABGSEC,2026-04-24,111.39,112.77,112.77,111.15,111.15,111.15,112.07,235,0.26,7,232,98.72
ABINFRA,2026-04-24,15.59,15.95,15.95,14.81,15.4,15.58,15.36,634825,97.48,2209,261175,41.14
ABLBL,2026-04-24,106.13,106.13,106.58,104.32,105.2,105.16,105.13,308123,323.93,5348,161412,52.39
ABMKNO,2026-04-24,254.8,233.0,242.55,230.0,233.0,232.6,235.45,908,2.14,104,889,97.91
ABREL,2026-04-24,1423.4,1436.8,1449.7,1382.0,1405.4,1413.7,1409.77,196974,2776.89,16319,91036,46.22
ABSL10BANK,2026-04-24,169.1,167.01,167.09,166.0,166.54,166.42,166.81,6671,11.13,34,2289,34.31
ABSLAMC,2026-04-24,1047.45,1033.6,1099.25,1032.5,1063.0,1067.65,1064.87,1770123,18849.45,66472,1114730,62.97
ABSLBANETF,2026-04-24,57.51,57.36,57.64,57.0,57.39,57.25,57.17,15160,8.67,348,9277,61.19
ABSLLIQUID,2026-04-24,1000.0,999.99,1000.01,999.99,1000.0,999.99,1000.0,2736,27.36,26,2040,74.56
ABSLMSCIN,2026-04-24,29.21,29.13,31.0,28.74,28.94,28.9,29.0,238,0.07,24,168,70.59
ABSLNN50ET,2026-04-24,73.88,72.03,74.24,72.03,73.56,73.4,73.23,8219,6.02,237,3754,45.67
ABSLPSE,2026-04-24,11.05,11.05,11.09,10.93,11.09,10.99,10.98,1303856,143.21,462,1036499,79.49
ACC,2026-04-24,1423.1,1423.0,1429.0,1398.8,1411.0,1412.7,1409.94,173032,2439.64,12471,79330,45.85
ACCELYA,2026-04-24,1202.8,1200.3,1210.4,1151.0,1164.0,1160.3,1172.13,13774,161.45,1643,7483,54.33
ACE,2026-04-24,916.55,918.4,927.45,900.1,905.0,907.25,911.05,225153,2051.25,12864,111026,49.31
ACEINTEG,2026-04-24,20.41,20.11,21.8,20.11,20.13,20.13,20.36,12763,2.6,95,8819,69.1
ACI,2026-04-24,596.85,599.95,605.1,595.05,604.35,603.3,602.62,254018,1530.75,11574,187413,73.78
ACL,2026-04-24,54.92,55.01,56.25,54.01,56.25,55.47,54.89,14686,8.06,577,5847,39.81
ACMESOLAR,2026-04-24,309.2,309.9,316.9,302.3,304.4,305.3,309.14,1405123,4343.77,28168,549194,39.09
ACSTECH,2026-04-24,41.8,41.8,41.95,41.0,41.0,41.0,41.04,3185,1.31,35,3185,100.0
ACUTAAS,2026-04-24,2386.7,2390.0,2424.9,2340.0,2395.0,2395.0,2375.94,351454,8350.33,23700,217810,61.97
ADANIENSOL,2026-04-24,1361.25,1359.95,1425.0,1282.4,1420.3,1411.95,1358.34,7928505,107696.35,170960,1583244,19.97
