symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
20MICRONS,2025-08-25,234.36,235.09,239.87,231.35,235.06,233.56,235.43,92170,217.0,2765,44743,48.54
21STCENMGM,2025-08-25,56.0,56.99,56.99,54.88,54.88,55.02,55.32,6805,3.76,131,5369,78.9
360ONE,2025-08-25,1077.6,1081.6,1099.5,1070.0,1098.0,1092.7,1086.51,853932,9278.06,49621,587860,68.84
3IINFOLTD,2025-08-25,23.68,23.77,24.09,23.63,23.75,23.69,23.86,124818,29.78,974,87119,69.8
3MINDIA,2025-08-25,30550.0,30550.0,30900.0,30215.0,30630.0,30520.0,30537.13,3636,1110.33,2294,2093,57.56
3PLAND,2025-08-25,47.98,49.0,50.18,46.5,48.76,48.0,48.46,11750,5.69,185,7341,62.48
5PAISA,2025-08-25,369.0,369.0,370.95,360.0,364.2,362.45,364.87,22032,80.39,2014,12598,57.18
63MOONS,2025-08-25,960.2,963.9,978.3,939.1,954.0,951.5,957.62,183075,1753.16,12866,83177,45.43
AAATECH,2025-08-25,80.74,81.0,84.0,81.0,81.98,81.73,82.27,17976,14.79,638,7306,40.64
AADHARHFC,2025-08-25,521.85,524.75,530.0,516.0,518.55,517.25,523.96,773811,4054.47,17693,446827,57.74
AARON,2025-08-25,430.0,230.0,258.0,230.0,232.15,238.85,250.87,241630,606.19,7034,77085,31.9
AARTECH,2025-08-25,60.68,62.89,63.1,59.06,59.58,59.87,60.79,93928,57.1,1314,57051,60.74
AARTIDRUGS,2025-08-25,483.05,489.0,490.0,477.1,480.25,480.9,482.3,211290,1019.05,9250,86042,40.72
AARTIIND,2025-08-25,382.3,382.95,389.5,382.3,387.95,388.55,387.55,463760,1797.29,12528,229084,49.4
AARTIPHARM,2025-08-25,863.25,865.8,868.95,825.0,826.9,827.6,836.8,417772,3495.93,30406,207229,49.6
AARVI,2025-08-25,121.54,121.65,123.79,116.26,121.2,122.06,121.22,39213,47.53,767,27180,69.31
AAVAS,2025-08-25,1650.0,1657.9,1664.8,1627.0,1631.0,1631.9,1635.59,85812,1403.53,10551,55220,64.35
ABAN,2025-08-25,49.55,51.99,52.14,49.0,49.45,49.57,50.93,262524,133.71,3781,130607,49.75
ABB,2025-08-25,5063.0,5100.0,5113.5,5045.0,5100.5,5100.5,5095.63,246352,12553.19,24614,151838,61.63
ABBOTINDIA,2025-08-25,31875.0,32145.0,32145.0,31470.0,31530.0,31520.0,31734.1,6091,1932.92,3044,3616,59.37
ABCAPITAL,2025-08-25,286.35,287.5,291.95,284.55,285.0,285.2,287.82,3780591,10881.47,40190,1569592,41.52
ABDL,2025-08-25,522.1,524.3,525.4,510.0,513.0,511.95,516.32,189065,976.19,6856,98881,52.3
ABFRL,2025-08-25,81.25,81.44,83.4,80.86,81.95,81.98,82.34,30724283,25297.32,76857,10064180,32.76
ABGSEC,2025-08-25,109.5,109.48,109.5,108.96,108.96,108.96,108.98,1978,2.16,12,1956,98.89
ABLBL,2025-08-25,142.81,144.0,145.9,142.14,144.25,144.13,144.2,803259,1158.28,13404,462136,57.53
ABREL,2025-08-25,1796.3,1804.9,1850.0,1803.1,1841.0,1845.4,1835.03,102845,1887.24,12517,50966,49.56
ABSLAMC,2025-08-25,882.2,891.3,895.05,869.0,871.0,874.55,883.78,203152,1795.41,14778,91730,45.15
ABSLBANETF,2025-08-25,56.34,58.03,58.03,56.01,56.36,56.38,56.4,25326,14.28,372,20115,79.42
ABSLLIQUID,2025-08-25,1000.01,1000.01,1000.01,999.99,999.99,1000.0,1000.0,1592,15.92,24,1350,84.8
ABSLNN50ET,2025-08-25,70.54,69.88,71.38,69.88,70.7,70.69,70.75,23587,16.69,285,17323,73.44
ABSLPSE,2025-08-25,9.75,9.99,9.99,9.72,9.74,9.73,9.74,578595,56.33,699,499986,86.41
ACC,2025-08-25,1821.1,1819.0,1828.3,1805.0,1806.5,1807.7,1814.9,215303,3907.54,16811,116778,54.24
ACCELYA,2025-08-25,1409.7,1423.8,1460.0,1408.1,1433.0,1432.5,1439.7,16719,240.7,2744,9609,57.47
ACCURACY,2025-08-25,7.15,7.25,7.25,7.0,7.18,7.07,7.09,78432,5.56,630,53828,68.63
ACE,2025-08-25,985.4,995.6,1103.9,991.6,1068.0,1080.5,1074.26,8981829,96488.12,346383,980491,10.92
ACEINTEG,2025-08-25,24.17,25.2,25.2,23.8,23.9,24.04,24.31,15165,3.69,115,6474,42.69
ACI,2025-08-25,674.0,677.0,691.0,666.5,683.1,685.2,678.66,223419,1516.26,12250,101390,45.38
ACL,2025-08-25,73.35,76.0,80.68,74.22,80.68,80.68,79.63,143181,114.01,1267,120737,84.32
ACLGATI,2025-08-25,62.85,62.89,63.84,62.2,63.3,62.54,62.76,101595,63.76,1452,54406,53.55
