symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
20MICRONS,2026-04-20,184.09,184.43,187.0,175.2,175.41,177.22,179.57,176570,317.07,3126,74047,41.94
21STCENMGM,2026-04-20,32.41,33.05,33.05,33.05,33.05,33.05,33.05,612,0.2,10,612,100.0
360ONE,2026-04-20,1113.3,1107.7,1127.65,1096.75,1105.0,1109.25,1109.07,671866,7451.44,30688,313927,46.72
3BBLACKBIO,2026-04-20,1309.9,1329.55,1346.85,1281.1,1299.0,1301.9,1320.31,4965,65.55,714,3401,68.5
3IINFOLTD,2026-04-20,17.46,17.95,17.95,17.38,17.55,17.65,17.58,514878,90.52,1248,400043,77.7
3MINDIA,2026-04-20,31410.0,31320.0,31750.0,30910.0,31320.0,31480.0,31383.35,2882,904.47,1565,1171,40.63
3PLAND,2026-04-20,36.25,36.4,36.4,33.25,34.41,34.71,34.56,16683,5.77,259,11160,66.89
5PAISA,2026-04-20,323.19,322.01,327.0,314.49,316.5,318.99,318.43,41887,133.38,1659,23063,55.06
63MOONS,2026-04-20,662.7,671.0,727.0,665.05,700.2,700.45,698.86,612451,4280.15,18962,214505,35.02
AAATECH,2026-04-20,104.14,104.4,110.0,101.9,103.4,103.25,105.8,66776,70.65,1133,36616,54.83
AADHARHFC,2026-04-20,496.45,497.0,498.95,477.4,481.15,480.55,482.77,367784,1775.56,15616,219382,59.65
AAREYDRUGS,2026-04-20,81.08,82.7,85.13,81.34,84.0,84.94,84.32,352415,297.15,1276,212321,60.25
AARNAV,2026-04-20,24.63,24.99,24.99,23.76,23.77,24.1,24.16,37257,9.0,357,31464,84.45
AARON,2026-04-20,142.33,143.9,143.9,137.0,138.4,139.43,139.97,9967,13.95,327,6051,60.71
AARTECH,2026-04-20,53.17,53.15,53.17,51.3,51.65,51.68,52.17,77525,40.45,1065,30551,39.41
AARTIDRUGS,2026-04-20,373.2,375.0,375.45,362.6,363.4,365.2,367.59,214038,786.78,6626,113547,53.05
AARTIIND,2026-04-20,440.85,442.8,448.0,436.1,446.0,445.65,443.25,1043972,4627.37,27820,448004,42.91
AARTIPHARM,2026-04-20,697.75,696.0,697.75,673.0,673.0,676.15,683.73,137887,942.78,9815,83589,60.62
AARTISURF,2026-04-20,397.3,409.9,409.9,391.35,395.95,394.9,396.79,10473,41.56,726,7163,68.39
AARVI,2026-04-20,134.83,135.05,135.36,131.57,132.79,131.98,132.44,13073,17.31,271,8441,64.57
AAVAS,2026-04-20,1347.9,1345.0,1374.9,1327.5,1350.0,1355.8,1354.61,90454,1225.3,11237,40755,45.06
ABANSENT,2026-04-20,27.1,27.0,27.0,22.3,26.5,26.5,26.04,584,0.15,23,487,83.39
ABB,2026-04-20,7029.5,7054.5,7319.5,6993.5,7156.0,7158.0,7200.41,559841,40310.86,51599,198352,35.43
ABBOTINDIA,2026-04-20,25785.0,25890.0,25890.0,25500.0,25550.0,25550.0,25605.81,14619,3743.31,7024,8223,56.25
ABCAPITAL,2026-04-20,340.4,341.0,345.3,335.75,340.95,341.6,342.02,4145767,14179.2,65577,2112315,50.95
ABCOTS,2026-04-20,409.1,420.0,435.95,391.1,392.0,401.4,408.94,87666,358.5,2235,24790,28.28
ABDL,2026-04-20,573.8,575.0,588.0,566.95,573.8,573.4,577.19,560110,3232.93,12785,211268,37.72
ABFRL,2026-04-20,64.11,64.57,66.6,63.2,64.61,64.78,65.18,6086930,3967.37,26087,2294980,37.7
ABGSEC,2026-04-20,112.46,112.92,113.26,111.26,112.38,111.83,111.52,788,0.88,14,724,91.88
ABINFRA,2026-04-20,16.23,16.85,16.88,16.0,16.05,16.24,16.33,519850,84.87,1249,113501,21.83
ABLBL,2026-04-20,105.84,106.0,106.9,104.32,105.0,104.73,105.42,787514,830.17,11114,370705,47.07
ABMKNO,2026-04-20,240.65,252.95,253.0,252.0,252.0,252.0,252.56,15,0.04,5,13,86.67
ABREL,2026-04-20,1420.4,1414.9,1431.6,1396.8,1410.0,1403.6,1412.06,194988,2753.35,12262,103954,53.31
ABSL10BANK,2026-04-20,169.18,168.49,170.0,167.65,168.61,168.41,168.73,2075,3.5,21,1739,83.81
ABSLAMC,2026-04-20,1068.25,1060.0,1082.25,1050.1,1067.5,1066.7,1068.6,502198,5366.5,26664,330062,65.72
ABSLBANETF,2026-04-20,57.71,57.71,58.2,57.44,57.58,57.65,57.85,58113,33.62,772,40003,68.84
ABSLLIQUID,2026-04-20,1000.0,1000.0,1000.01,999.99,999.99,999.99,1000.0,20052,200.52,83,18821,93.86
ABSLMSCIN,2026-04-20,29.24,29.2,29.42,29.11,29.11,29.26,29.23,2513,0.73,16,2311,91.96
ABSLNN50ET,2026-04-20,73.73,73.76,74.3,72.75,73.88,73.72,73.88,28131,20.78,301,24834,88.28
ABSLPSE,2026-04-20,10.98,10.98,11.09,10.9,10.98,11.03,11.01,414650,45.67,741,283695,68.42
ACC,2026-04-20,1432.2,1435.0,1444.8,1413.0,1426.0,1428.8,1432.34,222508,3187.06,11945,99970,44.93
ACCELYA,2026-04-20,1199.7,1199.7,1214.9,1180.0,1200.0,1196.2,1194.83,8204,98.02,1055,4371,53.28
ACE,2026-04-20,917.05,921.0,927.5,900.0,902.5,904.55,915.38,348053,3186.02,13595,160230,46.04
ACEINTEG,2026-04-20,18.44,18.45,18.45,18.0,18.35,18.26,18.35,3025,0.56,57,2507,82.88
ACI,2026-04-20,606.65,606.95,607.65,596.2,597.0,599.55,601.77,68567,412.62,3763,37330,54.44
ACL,2026-04-20,57.92,58.89,59.5,55.5,56.99,56.6,57.13,26907,15.37,641,12215,45.4
ACMESOLAR,2026-04-20,304.65,309.0,314.4,297.1,297.5,299.05,306.03,2928726,8962.81,35885,910751,31.1
ACSTECH,2026-04-20,40.75,41.5,41.55,39.95,39.95,40.0,40.26,33643,13.55,96,33039,98.2
ACUTAAS,2026-04-20,2361.7,2362.9,2419.0,2338.0,2415.0,2410.7,2391.77,264360,6322.87,21753,147581,55.83
ADANIENSOL,2026-04-20,1259.8,1253.1,1291.5,1246.35,1256.0,1259.4,1267.65,2335390,29604.49,48988,804663,34.46
ADANIENT,2026-04-20,2218.3,2218.3,2280.1,2202.2,2225.6,2229.6,2241.76,1795338,40247.1,66823,526807,29.34
ADANIGREEN,2026-04-20,1127.3,1126.5,1195.0,1120.4,1152.0,1152.7,1160.87,7598644,88210.53,125877,1796088,23.64
ADANIPORTS,2026-04-20,1573.4,1572.4,1600.5,1566.1,1572.1,1578.4,1585.29,2998603,47536.53,80778,1312146,43.76
ADANIPOWER,2026-04-20,198.5,198.5,207.5,197.41,199.5,200.83,203.42,81881887,166565.29,337495,16226761,19.82
ADFFOODS,2026-04-20,226.94,225.61,234.25,219.1,219.9,220.62,226.43,389403,881.71,9386,117519,30.18
ADL,2026-04-20,76.24,75.1,76.39,73.1,76.0,75.89,75.12,582,0.44,34,164,28.18
ADOR,2026-04-20,1002.35,1020.0,1071.8,1005.0,1032.0,1037.9,1045.5,91290,954.44,5298,46527,50.97
ADROITINFO,2026-04-20,9.81,9.6,9.9,9.52,9.69,9.66,9.69,20480,1.98,218,17862,87.22
ADSL,2026-04-20,122.17,122.78,122.78,117.63,118.88,118.4,119.75,217311,260.23,3021,93857,43.19
ADVAIT,2026-04-20,1910.2,1910.2,1922.8,1850.0,1858.0,1862.1,1882.52,54093,1018.31,4428,27553,50.94
ADVANCE,2026-04-20,111.62,111.9,112.0,106.15,109.0,107.59,109.61,166306,182.28,1070,97758,58.78
ADVANIHOTR,2026-04-20,54.79,54.01,55.07,54.01,54.74,54.53,54.7,43323,23.7,460,32054,73.99
ADVENTHTL,2026-04-20,165.5,166.32,168.0,157.4,160.23,160.23,163.07,115674,188.63,2135,59693,51.6
ADVENZYMES,2026-04-20,307.4,302.0,307.3,297.1,298.0,298.85,301.91,145195,438.35,3424,88143,60.71
AEGISLOG,2026-04-20,709.3,708.0,749.9,690.0,736.55,740.5,733.33,2460815,18046.01,74984,808244,32.84
AEGISVOPAK,2026-04-20,200.76,203.25,203.25,195.12,198.25,197.17,198.07,596464,1181.42,10516,227754,38.18
