symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
20MICRONS,2026-01-08,207.54,206.9,209.89,200.25,200.26,201.01,202.87,135437,274.76,4698,65742,48.54
21STCENMGM,2026-01-08,47.5,47.43,48.45,46.55,47.45,47.37,47.51,1311,0.62,52,980,74.75
360ONE,2026-01-08,1191.8,1190.0,1197.1,1170.3,1175.3,1182.9,1182.81,1029259,12174.13,33425,308926,30.01
3IINFOLTD,2026-01-08,16.69,16.6,17.0,16.15,16.26,16.2,16.33,702748,114.75,1784,531687,75.66
3MINDIA,2026-01-08,34875.0,34875.0,35255.0,34680.0,34695.0,34830.0,35004.6,2631,920.97,1775,1105,42.0
3PLAND,2026-01-08,37.4,37.0,37.49,36.66,36.99,36.68,36.79,3965,1.46,93,3489,87.99
5PAISA,2026-01-08,384.75,384.75,390.9,371.35,375.0,373.7,380.15,142558,541.93,8091,58317,40.91
63MOONS,2026-01-08,712.75,712.05,717.7,675.6,677.9,679.65,689.58,126549,872.65,8374,70083,55.38
A2ZINFRA,2026-01-08,15.21,15.4,15.97,14.71,14.72,14.86,15.41,316854,48.84,582,190729,60.19
AADHARHFC,2026-01-08,496.2,496.2,497.95,486.5,487.0,488.0,489.87,107965,528.89,6671,57409,53.17
AAKASH,2026-01-08,8.7,8.7,8.82,8.58,8.6,8.62,8.65,42008,3.63,331,30079,71.6
AAREYDRUGS,2026-01-08,69.85,69.85,70.88,66.36,66.36,67.85,68.35,403139,275.56,3329,219944,54.56
AARON,2026-01-08,173.08,170.6,173.89,168.0,168.0,168.79,169.92,5754,9.78,303,4265,74.12
AARTECH,2026-01-08,53.76,55.51,56.8,54.15,54.95,54.87,55.34,87643,48.5,1846,37801,43.13
AARTIDRUGS,2026-01-08,404.0,404.0,405.75,390.0,391.85,392.8,395.29,104458,412.91,5399,50719,48.55
AARTIIND,2026-01-08,375.9,375.9,376.15,366.85,367.0,368.65,371.76,374128,1390.87,18258,166849,44.6
AARTIPHARM,2026-01-08,747.25,745.0,745.0,730.0,730.5,730.35,735.75,76670,564.1,9416,39850,51.98
AARTISURF,2026-01-08,380.4,376.3,383.5,374.05,374.05,376.15,376.95,8398,31.66,911,6601,78.6
AARVI,2026-01-08,133.95,134.25,140.0,132.5,138.0,136.4,136.03,108587,147.71,1925,46881,43.17
