symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
360ONE,2024-12-10,1138.6,1140.0,1210.0,1140.0,1195.1,1198.4,1188.03,1925322,22873.35,89376,977052,50.75
3IINFOLTD,2024-12-10,30.73,30.5,30.78,29.86,30.09,29.99,30.17,645092,194.65,3626,343835,53.3
3MINDIA,2024-12-10,31126.1,31100.0,31575.05,30871.0,31160.6,31275.8,31217.92,6932,2164.03,3173,1236,17.83
3PLAND,2024-12-10,60.54,60.74,61.73,57.61,58.5,58.65,59.82,127068,76.01,2331,50428,39.69
5PAISA,2024-12-10,507.4,511.15,514.0,502.3,510.0,508.95,508.07,30566,155.3,2145,12393,40.55
63MOONS,2024-12-10,832.35,857.0,873.95,845.0,873.95,873.95,869.24,1241330,10790.09,16212,416700,33.57
A2ZINFRA,2024-12-10,19.54,19.54,21.49,19.12,21.49,21.49,20.98,1807826,379.36,2545,1029004,56.92
AAATECH,2024-12-10,115.54,117.0,117.05,114.51,114.51,115.71,116.19,16199,18.82,496,10442,64.46
AADHARHFC,2024-12-10,426.5,428.0,434.45,420.2,422.45,422.2,425.82,442610,1884.71,11601,237955,53.76
AAKASH,2024-12-10,10.89,10.8,11.49,10.8,11.07,11.09,11.19,371747,41.61,1080,222156,59.76
AARON,2024-12-10,343.65,349.85,375.0,343.7,364.6,367.25,362.5,89403,324.09,2747,45135,50.48
AARTECH,2024-12-10,81.05,82.4,83.0,78.02,79.85,79.12,80.01,163927,131.16,2020,112556,68.66
AARTIDRUGS,2024-12-10,455.75,454.8,456.2,443.25,446.4,444.75,446.46,296198,1322.41,12652,188958,63.79
AARTIIND,2024-12-10,448.4,450.0,456.5,446.55,448.5,447.6,451.1,1746995,7880.67,26003,883700,50.58
AARTIPHARM,2024-12-10,622.05,623.0,626.85,602.4,603.6,605.75,610.27,229513,1400.64,14566,128615,56.04
AARVI,2024-12-10,143.03,144.12,144.12,141.1,143.89,141.99,142.45,6242,8.89,168,4657,74.61
AAVAS,2024-12-10,1660.2,1665.0,1690.0,1648.85,1684.8,1683.55,1666.09,166880,2780.38,11384,99947,59.89
